slot,line,mu_u,sd_u,mu_v,sd_v,n
0,back,-1.2857657146762407,0.21354716708070026,-0.7883424487505863,0.7186954550991266,869
1,back,-1.2929825927992609,0.22848261550481816,0.7038825557357191,0.7255451209919226,869
2,mid,-0.20038416506422055,0.4726742059941139,-1.3563216560250626,0.4393935851032121,869
3,mid,-0.1802765831414798,0.5163662625716633,-0.48979525404738483,0.40841369701291796,869
4,mid,-0.03405042526652074,0.5094557120339435,0.0389670978144692,0.3939818251474097,869
5,mid,-0.20874324975729375,0.4967017289198482,0.6063798175724189,0.39505813827996206,869
6,mid,-0.19304320369358796,0.46742693521271655,1.4079226997991203,0.37486288191253375,869
7,fwd,1.0730602500905175,0.3234378995786865,-0.7963795168383616,0.38033364718644314,869
8,fwd,1.262690214879536,0.38113730491033754,-0.058081281084668146,0.3724297365742942,869
9,fwd,1.0594954694285506,0.30231239644614244,0.7317679858243358,0.37903056297579935,869
