metric,value
n_episodes,15
ticks_per_episode,2000
dt_s,0.1
r_max_m,1.2
duel_a_m,1.2
duel_b_m,0.5
duel_exponent,6
held_ticks,8940
contact_ticks,85
contact_frac_of_held,0.00951
n_contact_runs,25
contact_runs_per_episode,1.667
mean_contact_ticks,3.4
mean_contact_s,0.34
median_contact_s,0.4
p90_contact_s,0.6
max_contact_s,0.6
nearest_def_dist_median_m,16.925
nearest_def_dist_p05_m,2.118
nearest_def_dist_min_m,0.059
turnovers_total,10
turnovers_per_episode,0.667
target_win_rate,0.65
lam_max_current,2.1
lam_max_fitted_mean,3.0877
lam_max_fitted_median,2.6246
implied_win_rate_at_current_lam,0.5103
