adv_floor,adv_exp,n_events,lam_max,logL,dlogL
0.01,0.4,48,0.2353,-430.1665,-4.5906
0.01,0.6,48,0.2649,-429.3653,-3.7895
0.01,0.8,48,0.297,-428.7472,-3.1714
0.01,1.0,48,0.3318,-428.2973,-2.7215
0.01,1.2,48,0.3693,-428.0023,-2.4265
0.01,1.4,48,0.4096,-427.8498,-2.274
0.01,1.6,48,0.4529,-427.8279,-2.2521
0.01,1.8,48,0.4992,-427.9248,-2.3489
0.01,2.0,48,0.5487,-428.1286,-2.5528
0.01,2.2,48,0.6013,-428.4274,-2.8516
0.01,2.4,48,0.6571,-428.8087,-3.2329
0.01,2.6,48,0.7162,-429.2599,-3.6841
0.01,2.8,48,0.7785,-429.7682,-4.1924
0.01,3.0,48,0.8442,-430.3211,-4.7453
0.01,3.2,48,0.9133,-430.9066,-5.3307
0.01,3.4,48,0.9856,-431.5134,-5.9376
0.01,3.6,48,1.0612,-432.1319,-6.5561
0.01,3.8,48,1.1401,-432.7534,-7.1776
0.01,4.0,48,1.2221,-433.3707,-7.7949
0.01,4.2,48,1.3073,-433.978,-8.4022
0.01,4.4,48,1.3955,-434.5704,-8.9946
0.01,4.6,48,1.4867,-435.1438,-9.5679
0.01,4.8,48,1.5807,-435.6948,-10.119
0.01,5.0,48,1.6774,-436.2207,-10.6449
0.01,5.2,48,1.7768,-436.7194,-11.1436
0.01,5.4,48,1.8785,-437.1892,-11.6134
0.01,5.6,48,1.9826,-437.6291,-12.0532
0.01,5.8,48,2.0888,-438.0383,-12.4625
0.01,6.0,48,2.1969,-438.417,-12.8412
0.01,6.2,48,2.3069,-438.7654,-13.1896
0.01,6.4,48,2.4184,-439.0844,-13.5085
0.01,6.6,48,2.5315,-439.3749,-13.7991
0.01,6.8,48,2.6458,-439.6385,-14.0626
0.01,7.0,48,2.7611,-439.8764,-14.3006
0.01,7.2,48,2.8774,-440.0905,-14.5147
0.01,7.4,48,2.9944,-440.2824,-14.7066
0.01,7.6,48,3.1119,-440.4538,-14.878
0.01,7.8,48,3.2298,-440.6065,-15.0307
0.01,8.0,48,3.3479,-440.7421,-15.1663
0.01,8.2,48,3.466,-440.8623,-15.2865
0.01,8.4,48,3.584,-440.9687,-15.3929
0.01,8.6,48,3.7017,-441.0628,-15.487
0.01,8.8,48,3.819,-441.1461,-15.5703
0.01,9.0,48,3.9357,-441.2199,-15.6441
0.01,9.2,48,4.0517,-441.2856,-15.7098
0.01,9.4,48,4.1669,-441.3443,-15.7685
0.01,9.6,48,4.2812,-441.3972,-15.8214
0.01,9.8,48,4.3944,-441.4453,-15.8695
