exponent,k,a_semi,b_semi,a_back,lam_max,logL,n_events,dlogL
1.0,1.94,3.9822,4.0409,2.7629,0.8584,-417.9589,47,-3.156
1.25,1.68,3.4485,3.4994,2.3926,0.8089,-416.7727,47,-1.9698
1.5,1.54,3.1611,3.2078,2.1933,0.763,-416.0218,47,-1.2189
1.75,1.44,2.9558,2.9995,2.0508,0.7364,-415.5449,47,-0.742
2.0,1.38,2.8327,2.8745,1.9654,0.7072,-415.2216,47,-0.4187
2.25,1.32,2.7095,2.7495,1.8799,0.6977,-415.0401,47,-0.2372
2.5,1.3,2.6685,2.7078,1.8514,0.6673,-414.917,47,-0.1141
2.75,1.26,2.5864,2.6245,1.7945,0.6633,-414.828,47,-0.025
3.0,1.24,2.5453,2.5829,1.766,0.6491,-414.8029,47,0.0
3.25,1.22,2.5042,2.5412,1.7375,0.6401,-414.8068,47,-0.0038
3.5,1.2,2.4632,2.4995,1.709,0.6352,-414.8388,47,-0.0359
3.75,1.2,2.4632,2.4995,1.709,0.616,-414.8886,47,-0.0857
4.0,1.18,2.4221,2.4579,1.6805,0.6167,-414.9192,47,-0.1163
4.25,1.18,2.4221,2.4579,1.6805,0.6022,-414.9889,47,-0.1859
4.5,1.16,2.3811,2.4162,1.6521,0.6066,-415.0574,47,-0.2545
4.75,1.16,2.3811,2.4162,1.6521,0.5951,-415.1027,47,-0.2998
5.0,1.16,2.3811,2.4162,1.6521,0.5849,-415.1784,47,-0.3755
5.25,1.16,2.3811,2.4162,1.6521,0.5758,-415.2693,47,-0.4664
5.5,1.14,2.34,2.3746,1.6236,0.5846,-415.3256,47,-0.5227
5.75,1.14,2.34,2.3746,1.6236,0.577,-415.3711,47,-0.5682
6.0,1.14,2.34,2.3746,1.6236,0.5701,-415.4258,47,-0.6229
6.25,1.14,2.34,2.3746,1.6236,0.5637,-415.4865,47,-0.6836
6.5,1.14,2.34,2.3746,1.6236,0.558,-415.55,47,-0.7471
6.75,1.14,2.34,2.3746,1.6236,0.5527,-415.6141,47,-0.8112
7.0,1.14,2.34,2.3746,1.6236,0.5478,-415.6777,47,-0.8747
7.25,1.14,2.34,2.3746,1.6236,0.5433,-415.7405,47,-0.9376
7.5,1.14,2.34,2.3746,1.6236,0.5391,-415.8028,47,-0.9999
7.75,1.12,2.299,2.3329,1.5951,0.5516,-415.8399,47,-1.037
8.0,1.12,2.299,2.3329,1.5951,0.5478,-415.871,47,-1.0681
8.25,1.12,2.299,2.3329,1.5951,0.5443,-415.9026,47,-1.0997
8.5,1.12,2.299,2.3329,1.5951,0.541,-415.9337,47,-1.1308
8.75,1.12,2.299,2.3329,1.5951,0.5379,-415.9643,47,-1.1614
9.0,1.12,2.299,2.3329,1.5951,0.535,-415.9944,47,-1.1915
9.25,1.12,2.299,2.3329,1.5951,0.5323,-416.0237,47,-1.2208
9.5,1.12,2.299,2.3329,1.5951,0.5297,-416.0531,47,-1.2502
9.75,1.12,2.299,2.3329,1.5951,0.5273,-416.0825,47,-1.2796
10.0,1.12,2.299,2.3329,1.5951,0.525,-416.1112,47,-1.3083
