arm,policy,duel_a,lam_max,seed,start_holder,outcome,cause,end_tick,holder_ticks,min_press_m,ball_x_max
robocup,random,1.2,2.1,1000,0,failure,intercept,407,21,0.544,76.522
robocup,random,1.2,2.1,1001,1,failure,duel,60,5,0.955,75.45
robocup,random,1.2,2.1,1002,2,timeout,,500,24,0.639,79.968
robocup,random,1.2,2.1,1003,3,failure,intercept,94,7,2.028,78.316
robocup,random,1.2,2.1,1004,4,failure,intercept,93,6,1.227,86.875
robocup,random,1.2,2.1,1005,5,failure,intercept,264,17,0.405,75.947
robocup,random,1.2,2.1,1006,6,failure,intercept,75,5,0.149,76.2
robocup,random,1.2,2.1,1007,7,timeout,,500,23,1.203,78.35
robocup,random,1.2,2.1,1008,8,failure,intercept,78,6,0.525,73.991
robocup,random,1.2,2.1,1009,9,failure,intercept,35,3,2.412,87.024
robocup,random,1.2,2.1,1010,0,failure,duel,111,9,0.884,77.623
robocup,random,1.2,2.1,1011,1,failure,intercept,69,4,2.29,81.166
robocup,random,1.2,2.1,1012,2,failure,loose pass,154,6,3.794,87.391
robocup,random,1.2,2.1,1013,3,failure,intercept,294,14,0.614,65.953
robocup,random,1.2,2.1,1014,4,failure,intercept,179,11,1.082,82.718
robocup,random,1.2,2.1,1015,5,failure,duel,35,3,2.141,73.823
robocup,random,1.2,2.1,1016,6,failure,loose pass,121,5,1.365,91.012
robocup,random,1.2,2.1,1017,7,failure,loose pass,203,15,1.316,72.913
robocup,random,1.2,2.1,1018,8,failure,intercept,85,6,3.284,88.977
robocup,random,1.2,2.1,1019,9,failure,intercept,22,3,0.551,81.988
robocup,random,1.2,2.1,1020,0,failure,intercept,18,2,1.649,56.391
robocup,random,1.2,2.1,1021,1,failure,intercept,425,33,0.322,85.361
robocup,random,1.2,2.1,1022,2,failure,duel,92,4,3.261,74.973
robocup,random,1.2,2.1,1023,3,failure,duel,72,3,11.096,85.2
robocup,random,1.2,2.1,1024,4,timeout,,500,23,0.811,89.147
robocup,random,1.2,2.1,1025,5,failure,intercept,295,19,0.535,85.777
robocup,random,1.2,2.1,1026,6,timeout,,500,23,1.39,87.861
robocup,random,1.2,2.1,1027,7,failure,loose pass,165,11,1.647,83.335
robocup,random,1.2,2.1,1028,8,failure,loose pass,195,13,0.546,81.547
robocup,random,1.2,2.1,1029,9,failure,loose pass,211,11,1.856,86.456
robocup,random,1.2,2.1,1030,0,failure,loose pass,202,9,1.021,83.261
robocup,random,1.2,2.1,1031,1,failure,intercept,365,21,0.525,84.5
robocup,random,1.2,2.1,1032,2,failure,intercept,219,14,1.016,90.43
robocup,random,1.2,2.1,1033,3,failure,intercept,49,4,3.241,68.194
robocup,random,1.2,2.1,1034,4,success,,327,23,2.477,92.408
robocup,random,1.2,2.1,1035,5,failure,intercept,53,4,2.259,84.074
robocup,random,1.2,2.1,1036,6,success,,328,22,1.058,89.963
robocup,random,1.2,2.1,1037,7,failure,intercept,175,12,1.661,69.06
robocup,random,1.2,2.1,1038,8,failure,intercept,101,7,1.598,77.026
robocup,random,1.2,2.1,1039,9,failure,intercept,10,2,0.926,73.641
robocup,constrained_500k,1.2,2.1,1000,0,failure,loose pass,36,1,32.188,87.773
robocup,constrained_500k,1.2,2.1,1001,1,failure,intercept,48,5,7.474,77.121
robocup,constrained_500k,1.2,2.1,1002,2,failure,intercept,103,12,1.981,82.069
robocup,constrained_500k,1.2,2.1,1003,3,failure,loose pass,62,12,4.236,81.305
robocup,constrained_500k,1.2,2.1,1004,4,failure,duel,40,6,1.16,79.443
robocup,constrained_500k,1.2,2.1,1005,5,failure,intercept,19,4,1.004,73.846
robocup,constrained_500k,1.2,2.1,1006,6,failure,intercept,19,6,0.278,67.49
robocup,constrained_500k,1.2,2.1,1007,7,failure,loose pass,84,4,2.057,79.062
robocup,constrained_500k,1.2,2.1,1008,8,failure,intercept,77,8,0.886,74.015
robocup,constrained_500k,1.2,2.1,1009,9,success,,15,1,11.111,91.296
robocup,constrained_500k,1.2,2.1,1010,0,failure,intercept,108,24,1.462,83.407
robocup,constrained_500k,1.2,2.1,1011,1,success,,228,65,0.151,90.844
robocup,constrained_500k,1.2,2.1,1012,2,failure,intercept,32,11,0.908,88.67
robocup,constrained_500k,1.2,2.1,1013,3,failure,loose pass,125,22,1.579,73.474
robocup,constrained_500k,1.2,2.1,1014,4,failure,loose pass,70,11,1.995,83.32
robocup,constrained_500k,1.2,2.1,1015,5,failure,intercept,105,17,0.815,84.286
robocup,constrained_500k,1.2,2.1,1016,6,failure,intercept,91,45,0.089,92.973
robocup,constrained_500k,1.2,2.1,1017,7,failure,intercept,74,20,1.006,65.931
robocup,constrained_500k,1.2,2.1,1018,8,failure,loose pass,61,3,2.657,89.138
robocup,constrained_500k,1.2,2.1,1019,9,failure,intercept,113,33,0.235,84.187
robocup,constrained_500k,1.2,2.1,1020,0,failure,duel,27,1,20.978,65.146
robocup,constrained_500k,1.2,2.1,1021,1,failure,loose pass,17,1,10.195,84.278
robocup,constrained_500k,1.2,2.1,1022,2,failure,loose pass,59,3,4.004,80.89
robocup,constrained_500k,1.2,2.1,1023,3,failure,intercept,129,16,2.03,85.912
robocup,constrained_500k,1.2,2.1,1024,4,failure,intercept,112,35,0.765,93.049
robocup,constrained_500k,1.2,2.1,1025,5,failure,loose pass,69,13,4.267,85.648
robocup,constrained_500k,1.2,2.1,1026,6,failure,intercept,75,10,1.21,90.663
robocup,constrained_500k,1.2,2.1,1027,7,failure,loose pass,18,1,9.984,83.324
robocup,constrained_500k,1.2,2.1,1028,8,failure,duel,163,47,0.725,88.153
robocup,constrained_500k,1.2,2.1,1029,9,success,,15,1,13.056,92.575
robocup,constrained_500k,1.2,2.1,1030,0,failure,loose pass,72,8,2.681,84.065
robocup,constrained_500k,1.2,2.1,1031,1,failure,intercept,41,13,2.41,80.177
robocup,constrained_500k,1.2,2.1,1032,2,success,,70,13,2.68,90.107
robocup,constrained_500k,1.2,2.1,1033,3,failure,duel,81,36,0.287,70.155
robocup,constrained_500k,1.2,2.1,1034,4,failure,intercept,26,5,5.562,81.403
robocup,constrained_500k,1.2,2.1,1035,5,failure,intercept,172,27,0.039,91.066
robocup,constrained_500k,1.2,2.1,1036,6,failure,intercept,64,39,0.962,89.546
robocup,constrained_500k,1.2,2.1,1037,7,failure,intercept,215,32,1.316,82.245
robocup,constrained_500k,1.2,2.1,1038,8,failure,intercept,5,3,3.996,73.147
robocup,constrained_500k,1.2,2.1,1039,9,failure,loose pass,22,4,1.843,73.641
rate_only,random,1.2,0.27,1000,0,failure,intercept,407,21,0.544,76.522
rate_only,random,1.2,0.27,1001,1,failure,intercept,61,6,0.489,75.45
rate_only,random,1.2,0.27,1002,2,timeout,,500,24,0.639,79.968
rate_only,random,1.2,0.27,1003,3,failure,intercept,94,7,2.028,78.316
rate_only,random,1.2,0.27,1004,4,failure,intercept,93,6,1.227,86.875
rate_only,random,1.2,0.27,1005,5,failure,intercept,264,17,0.405,75.947
rate_only,random,1.2,0.27,1006,6,failure,intercept,75,5,0.149,76.2
rate_only,random,1.2,0.27,1007,7,timeout,,500,23,1.203,78.35
rate_only,random,1.2,0.27,1008,8,failure,intercept,78,6,0.525,73.991
rate_only,random,1.2,0.27,1009,9,failure,intercept,35,3,2.412,87.024
rate_only,random,1.2,0.27,1010,0,failure,intercept,112,10,0.445,77.623
rate_only,random,1.2,0.27,1011,1,failure,intercept,69,4,2.29,81.166
rate_only,random,1.2,0.27,1012,2,failure,loose pass,154,6,3.794,87.391
rate_only,random,1.2,0.27,1013,3,failure,intercept,294,14,0.614,65.953
rate_only,random,1.2,0.27,1014,4,failure,intercept,179,11,1.082,82.718
rate_only,random,1.2,0.27,1015,5,failure,intercept,37,5,0.911,74.104
rate_only,random,1.2,0.27,1016,6,failure,loose pass,121,5,1.365,91.012
rate_only,random,1.2,0.27,1017,7,failure,loose pass,203,15,1.316,72.913
rate_only,random,1.2,0.27,1018,8,failure,intercept,85,6,3.284,88.977
rate_only,random,1.2,0.27,1019,9,failure,intercept,22,3,0.551,81.988
rate_only,random,1.2,0.27,1020,0,failure,intercept,18,2,1.649,56.391
rate_only,random,1.2,0.27,1021,1,failure,intercept,425,33,0.322,85.361
rate_only,random,1.2,0.27,1022,2,failure,intercept,451,23,0.129,81.664
rate_only,random,1.2,0.27,1023,3,failure,intercept,215,12,1.194,87.633
rate_only,random,1.2,0.27,1024,4,timeout,,500,23,0.811,89.147
rate_only,random,1.2,0.27,1025,5,failure,intercept,295,19,0.535,85.777
rate_only,random,1.2,0.27,1026,6,timeout,,500,23,1.39,87.861
rate_only,random,1.2,0.27,1027,7,failure,loose pass,165,11,1.647,83.335
rate_only,random,1.2,0.27,1028,8,failure,loose pass,195,13,0.546,81.547
rate_only,random,1.2,0.27,1029,9,failure,loose pass,211,11,1.856,86.456
rate_only,random,1.2,0.27,1030,0,failure,loose pass,202,9,1.021,83.261
rate_only,random,1.2,0.27,1031,1,failure,intercept,365,21,0.525,84.5
rate_only,random,1.2,0.27,1032,2,failure,intercept,219,14,1.016,90.43
rate_only,random,1.2,0.27,1033,3,failure,intercept,49,4,3.241,68.194
rate_only,random,1.2,0.27,1034,4,success,,327,23,2.477,92.408
rate_only,random,1.2,0.27,1035,5,failure,intercept,53,4,2.259,84.074
