metric,value
episodes_per_cell,40
checkpoint,models\081226-500k\constrained.pt
base_seed,1000
random_robocup_success,2
random_robocup_success_rate,0.05
random_robocup_timeout,4
random_robocup_median_end_tick,159
random_robocup_duel,5
random_robocup_intercept,22
random_robocup_loose_pass,7
random_robocup_offside,0
random_robocup_duel_rate,0.125
random_rate_only_success,2
random_rate_only_success_rate,0.05
random_rate_only_timeout,4
random_rate_only_median_end_tick,177
random_rate_only_duel,0
random_rate_only_intercept,27
random_rate_only_loose_pass,7
random_rate_only_offside,0
random_rate_only_duel_rate,0.0
random_scale_only_success,1
random_scale_only_success_rate,0.025
random_scale_only_timeout,5
random_scale_only_median_end_tick,173
random_scale_only_duel,3
random_scale_only_intercept,25
random_scale_only_loose_pass,6
random_scale_only_offside,0
random_scale_only_duel_rate,0.075
random_shape_only_success,1
random_shape_only_success_rate,0.025
random_shape_only_timeout,5
random_shape_only_median_end_tick,165
random_shape_only_duel,2
random_shape_only_intercept,25
random_shape_only_loose_pass,7
random_shape_only_offside,0
random_shape_only_duel_rate,0.05
random_calibrated_success,1
random_calibrated_success_rate,0.025
random_calibrated_timeout,5
random_calibrated_median_end_tick,165
random_calibrated_duel,3
random_calibrated_intercept,24
random_calibrated_loose_pass,7
random_calibrated_offside,0
random_calibrated_duel_rate,0.075
constrained_500k_robocup_success,4
constrained_500k_robocup_success_rate,0.1
constrained_500k_robocup_timeout,0
constrained_500k_robocup_median_end_tick,69
constrained_500k_robocup_duel,4
constrained_500k_robocup_intercept,20
constrained_500k_robocup_loose_pass,12
constrained_500k_robocup_offside,0
constrained_500k_robocup_duel_rate,0.1
constrained_500k_rate_only_success,5
constrained_500k_rate_only_success_rate,0.125
constrained_500k_rate_only_timeout,1
constrained_500k_rate_only_median_end_tick,71
constrained_500k_rate_only_duel,0
constrained_500k_rate_only_intercept,22
constrained_500k_rate_only_loose_pass,12
constrained_500k_rate_only_offside,0
constrained_500k_rate_only_duel_rate,0.0
constrained_500k_scale_only_success,4
constrained_500k_scale_only_success_rate,0.1
constrained_500k_scale_only_timeout,1
constrained_500k_scale_only_median_end_tick,70
constrained_500k_scale_only_duel,1
constrained_500k_scale_only_intercept,21
constrained_500k_scale_only_loose_pass,13
constrained_500k_scale_only_offside,0
constrained_500k_scale_only_duel_rate,0.025
constrained_500k_shape_only_success,4
constrained_500k_shape_only_success_rate,0.1
constrained_500k_shape_only_timeout,1
constrained_500k_shape_only_median_end_tick,66
constrained_500k_shape_only_duel,2
constrained_500k_shape_only_intercept,21
constrained_500k_shape_only_loose_pass,12
constrained_500k_shape_only_offside,0
constrained_500k_shape_only_duel_rate,0.05
constrained_500k_calibrated_success,4
constrained_500k_calibrated_success_rate,0.1
constrained_500k_calibrated_timeout,1
constrained_500k_calibrated_median_end_tick,63
constrained_500k_calibrated_duel,3
constrained_500k_calibrated_intercept,21
constrained_500k_calibrated_loose_pass,11
constrained_500k_calibrated_offside,0
constrained_500k_calibrated_duel_rate,0.075
