k,a_semi,b_semi,a_back,exposure_s,covered_losses,total_losses,coverage_frac,lam_max
0.6,1.2316,1.2498,0.8545,30.2486,28,53,0.5283,0.9257
0.65,1.3342,1.3539,0.9257,34.0849,28,53,0.5283,0.8215
0.7,1.4369,1.4581,0.9969,37.9566,28,53,0.5283,0.7377
0.75,1.5395,1.5622,1.0681,42.0037,31,53,0.5849,0.738
0.8,1.6421,1.6664,1.1394,46.3106,34,53,0.6415,0.7342
0.85,1.7448,1.7705,1.2106,50.9046,36,53,0.6792,0.7072
0.9,1.8474,1.8747,1.2818,55.7388,37,53,0.6981,0.6638
0.95,1.95,1.9788,1.353,60.7649,38,53,0.717,0.6254
1.0,2.0527,2.083,1.4242,66.05,42,53,0.7925,0.6359
1.05,2.1553,2.1871,1.4954,71.6599,45,53,0.8491,0.628
1.1,2.2579,2.2913,1.5666,77.5755,47,53,0.8868,0.6059
1.15,2.3606,2.3954,1.6378,83.6805,48,53,0.9057,0.5736
1.2,2.4632,2.4995,1.709,89.9068,48,53,0.9057,0.5339
1.25,2.5658,2.6037,1.7802,96.2743,50,53,0.9434,0.5193
1.3,2.6685,2.7078,1.8514,102.8016,50,53,0.9434,0.4864
1.35,2.7711,2.812,1.9227,109.5226,50,53,0.9434,0.4565
1.4,2.8737,2.9161,1.9939,116.434,50,53,0.9434,0.4294
1.45,2.9764,3.0203,2.0651,123.5379,50,53,0.9434,0.4047
1.5,3.079,3.1244,2.1363,130.7754,51,53,0.9623,0.39
1.55,3.1816,3.2286,2.2075,138.2919,51,53,0.9623,0.3688
1.6,3.2843,3.3327,2.2787,146.1267,52,53,0.9811,0.3559
1.65,3.3869,3.4369,2.3499,154.1791,52,53,0.9811,0.3373
1.7,3.4895,3.541,2.4211,162.4627,52,53,0.9811,0.3201
1.75,3.5922,3.6452,2.4923,170.9505,52,53,0.9811,0.3042
1.8,3.6948,3.7493,2.5635,179.5644,52,53,0.9811,0.2896
1.85,3.7974,3.8535,2.6348,188.2763,52,53,0.9811,0.2762
1.9,3.9001,3.9576,2.706,197.206,52,53,0.9811,0.2637
1.95,4.0027,4.0618,2.7772,206.211,52,53,0.9811,0.2522
2.0,4.1053,4.1659,2.8484,215.168,52,53,0.9811,0.2417
2.05,4.208,4.2701,2.9196,223.8536,52,53,0.9811,0.2323
2.1,4.3106,4.3742,2.9908,232.2357,52,53,0.9811,0.2239
2.15,4.4132,4.4784,3.062,240.375,52,53,0.9811,0.2163
2.2,4.5159,4.5825,3.1332,248.1515,52,53,0.9811,0.2095
2.25,4.6185,4.6867,3.2044,255.5007,53,53,1.0,0.2074
2.3,4.7211,4.7908,3.2756,262.3864,53,53,1.0,0.202
2.35,4.8238,4.8949,3.3469,268.8139,53,53,1.0,0.1972
2.4,4.9264,4.9991,3.4181,274.7642,53,53,1.0,0.1929
2.45,5.029,5.1032,3.4893,280.0892,53,53,1.0,0.1892
2.5,5.1317,5.2074,3.5605,284.7638,53,53,1.0,0.1861
