gap_lo_m,gap_hi_m,frames,exposure_s,losses,hazard_per_s,hazard_lo95,hazard_hi95
0.0,0.4,540,21.6,6,0.2778,0.1014,0.6046
0.4,0.8,1026,41.04,10,0.2437,0.1167,0.4481
0.8,1.2,1231,49.24,12,0.2437,0.1258,0.4257
1.2,1.6,1239,49.56,6,0.1211,0.0442,0.2635
1.6,2.0,1477,59.08,6,0.1016,0.0371,0.2211
2.0,2.4,1595,63.8,8,0.1254,0.054,0.2471
2.4,2.8,1709,68.36,2,0.0293,0.0033,0.1056
2.8,3.2,1610,64.4,0,0.0,0.0,0.057
3.2,4.0,3526,141.04,2,0.0142,0.0016,0.0512
4.0,5.0,3837,153.48,1,0.0065,0.0001,0.0363
5.0,7.0,6523,260.92,0,0.0,0.0,0.0141
7.0,12.0,9725,389.0,0,0.0,0.0,0.0094
