event_frame,measured_frame,spell_a,spell_b,carrier_team,lost,dist,dx,dy,closing
5627,5622,5552,5623,Away,True,1.1663356040179862,-1.0684346292242186,-0.4677458543637851,-0.991696672909013
6863,6862,6845,6863,Home,True,1.149406929681562,0.6734715666344546,-0.9314356332752838,0.6593575333758467
7698,7694,7633,7695,Away,False,1.2483104799688232,-0.25604159253829956,-1.2217699281331347,-0.06954325017133614
13843,13839,13815,13840,Home,True,0.9309748430543106,0.14147308510474174,0.9201627707046969,0.3727050527612997
15690,15686,15664,15687,Away,True,0.7063130017209094,-0.3158351039189572,-0.6317643892563927,5.412035834943419
23812,23812,23767,23845,Away,True,0.126156494878381,-0.10417156596126864,-0.07116000312799335,0.29401222692307466
25074,25074,25029,25084,Home,False,1.9545611317121812,1.4656126186421639,-1.2931700853626569,-0.038041161667225584
25087,25083,25029,25084,Home,False,2.065966452777006,1.097049199466431,-1.7506285836664688,-0.29477526664646614
25595,25595,25580,25701,Home,True,2.070554496650597,1.7690382993373288,-1.075964413481086,3.5801181248748817
30807,30806,30754,30807,Home,True,0.45980844707334634,-0.03990650649129457,0.45807344251731363,1.144873460569655
31900,31897,31822,31898,Away,False,0.8270635990055417,0.46417391347930337,0.6845266794255046,-0.26827985207755367
36410,36406,36371,36407,Home,True,2.245274567530664,0.8309504058191566,2.0858521775689165,3.3283802881261426
37303,37303,37236,37310,Away,True,0.5258464825402945,0.32567869116339576,0.4128533799329949,2.193335397868016
37341,37341,37312,37379,Away,False,2.0106759301289743,-0.4130413251242658,-1.9677943387812675,-0.71266337977606
37351,37351,37312,37379,Away,False,1.5149546754936258,-0.6225458802674236,1.3811315273217302,0.805174852906089
37382,37378,37312,37379,Away,False,1.4040447588307159,0.2344742054664944,-1.3843278266981631,0.4797721808818861
38313,38308,38289,38309,Away,True,2.0496071682154082,2.000967430223279,-0.4438680966071249,3.2848423426729694
43171,43171,43152,43212,Home,False,1.444060291816106,0.9446985235645571,1.0921789349621076,3.1043836891062964
43439,43439,43434,43467,Away,True,0.30002932190037657,-0.2914507876137369,0.07123224269480931,-0.48388519188868145
43455,43455,43434,43467,Away,True,1.0654132097923303,0.526507691847592,0.9262261916105144,-1.6762565168007382
44426,44425,44401,44426,Home,False,0.426079837119758,0.20120887010663205,-0.37557824509735915,1.2446345257378462
45176,45172,45155,45173,Home,True,2.386116330776859,1.9245275970523807,1.4105830965185326,3.3105160557818025
45184,45172,45155,45173,Home,True,2.386116330776859,1.9245275970523807,1.4105830965185326,3.3105160557818025
47979,47979,47921,47994,Away,False,0.9824692353453089,0.07063361134519397,-0.9799268806132079,1.4182948980690064
48646,48646,48634,48670,Home,False,1.8673338962274544,1.5248450796724944,-1.0778605489573263,0.6881589942731032
48721,48721,48705,48766,Home,False,1.0222617073919926,1.0156902563926813,0.11572511166104443,1.1122386877824908
48730,48730,48705,48766,Home,False,1.3371991797783922,1.0182296152207075,-0.8667814586661939,-1.9507571852028052
51138,51138,51117,51221,Home,False,1.2206853316068045,-0.6202519193322007,1.0513611346082448,0.2903381951296538
51166,51166,51117,51221,Home,False,1.8694798699103439,-0.5719404696065716,-1.7798424321344322,-0.2373053677337959
51224,51223,51222,51224,Home,True,0.2610536833679954,-0.04392967877061893,0.257330932697777,-0.04799906225552223
51755,51750,51733,51751,Away,True,1.052359265080135,-0.5706696185243072,0.8841924051321202,0.3716725219026886
54373,54369,54321,54370,Home,True,0.8620919264208412,-0.07021646961364852,0.8592276397992518,0.11632578490366569
54381,54369,54321,54370,Home,True,0.8620919264208412,-0.07021646961364852,0.8592276397992518,0.11632578490366569
54542,54542,54507,54600,Away,True,1.9111724419319165,0.8303764268072793,1.7213526926817702,7.466704894287262
54603,54599,54507,54600,Away,True,1.7872475848633789,1.7117946731448745,-0.5138218821661968,2.9111094109536553
54643,54643,54605,54645,Home,False,2.652293265534564,1.362935039700861,2.27531704251421,-1.656052853987392
55854,55854,55823,55855,Home,False,1.083933473973384,-0.03920529673917694,-1.0832242245756887,-1.260042555004206
56804,56800,56788,56801,Home,False,1.306897238500412,-0.7940748230863766,1.037991121031554,-0.40047514722772287
56810,56800,56788,56801,Home,False,1.306897238500412,-0.7940748230863766,1.037991121031554,-0.40047514722772287
59232,59229,59172,59230,Home,False,1.7312136617991483,-0.18749639551793573,-1.7210304600639112,1.0231946934609562
61517,61517,61491,61527,Home,False,3.1056210457813442,3.0984331912657517,-0.21117253434748406,1.4200786660661024
61524,61524,61491,61527,Home,False,2.806928389895258,2.758772812278959,0.5177060519546071,1.09851578583201
63407,63407,63382,63411,Away,True,0.29941030109200045,0.2136277226508656,0.2097849482565592,1.4798548426156493
63428,63428,63411,63456,Home,True,0.1851024451486269,-0.18509511826390973,-0.0016469349925558804,-0.0
63469,63469,63456,63474,Away,True,1.0510908689547298,0.016149398943087423,-1.0509667985782358,-2.3785423980385687
63931,63927,63898,63928,Away,True,1.6596227065209677,-0.025557683063486575,1.6594259045936364,-0.8301127060909299
63938,63927,63898,63928,Away,True,1.6596227065209677,-0.025557683063486575,1.6594259045936364,-0.8301127060909299
64977,64968,64849,64969,Away,True,4.657563318173999,-0.4531313273232418,-4.635468483659259,1.1519215829154805
65408,65408,65398,65451,Home,False,0.24675499184413657,0.18253387193755277,-0.1660403914578768,1.3881892213810325
65414,65414,65398,65451,Home,False,0.552913454348865,-0.39972372150599006,-0.3820133956622413,-2.3006869628412723
