metric,value
source,"Metrica Sample_Game_1, tracking + event file"
fps,25
dt_s,0.04
carry_spells,809
carry_frames,42057
carry_exposure_s,1682.3
ground_duel_events,133
ground_duels_matched,103
ground_duels_lost,53
duel_loss_rate_of_contests,0.5146
point_blank_hazard_per_s,0.2503
hazard_elbow_m,2.4
loss_gap_p90_m,2.39
loss_gap_median_m,1.15
loss_gap_inside_old_gate_frac,0.5283
axis_anchor_forward_m,2.053
axis_anchor_lateral_m,2.083
axis_anchor_behind_m,1.424
axis_anchor_quantile,90
coverage_target,0.9
coverage_scale_k,1.15
fitted_duel_a_m,2.38
fitted_duel_b_m,2.38
fitted_duel_a_back_m,1.64
fitted_ratio_a_over_b,1.0
fitted_ratio_a_over_back,1.451
fitted_lam_max_per_s,0.57
fitted_lam_max_raw,0.5723
fitted_lam_max_lo95,0.406
fitted_lam_max_hi95,0.7624
gate_exposure_s,83.87
gate_covered_losses,48
gate_coverage_frac,0.9057
previous_lam_max,2.1
previous_duel_a_m,1.2
previous_duel_b_m,0.5
previous_duel_a_back_m,0.4
previous_coverage_frac,0.2642
previous_ratio_a_over_b,2.4
previous_ratio_a_over_back,3.0
loss_median_abs_dx_m,0.544
loss_median_abs_dy_m,0.739
losses_in_front,27
losses_behind,26
duel_exp_used,6
duel_exp_mle,3.0
duel_exp_lr95_lo,1.5
duel_exp_lr95_hi,10.0
duel_exp_dlogL_at_6,-0.623
duel_exp_identified,False
adv_floor_used,0.14
adv_exp_used,3
adv_floor_mle,0.11
adv_exp_mle,7.0
adv_floor_lr95_lo,0.05
adv_floor_lr95_hi,0.31
adv_exp_lr95_lo,2.0
adv_exp_lr95_hi,14.6
adv_old_linear_dlogL,-4.777
n_bootstrap,2000
