threshold,seed,start_holder,cause,end_tick,ended,n_passes,flight_ticks,min_def_dist_m
0.5,0,0,intercept,329,1,8,170,1.1273
0.5,0,4,intercept,94,1,2,35,1.0963
0.5,0,7,intercept,293,1,7,152,1.0896
0.5,0,9,intercept,90,1,2,40,2.1688
0.5,1,0,intercept,329,1,8,170,1.1273
0.5,1,4,intercept,94,1,2,35,1.0963
0.5,1,7,intercept,293,1,7,152,1.0896
0.5,1,9,intercept,90,1,2,40,2.1688
0.5,2,0,intercept,329,1,8,170,1.1273
0.5,2,4,intercept,94,1,2,35,1.0963
0.5,2,7,intercept,293,1,7,152,1.0896
0.5,2,9,intercept,90,1,2,40,2.1688
0.5,3,0,intercept,329,1,8,170,1.1273
0.5,3,4,intercept,94,1,2,35,1.0963
0.5,3,7,intercept,293,1,7,152,1.0896
0.5,3,9,intercept,90,1,2,40,2.1688
0.5,4,0,intercept,329,1,8,170,1.1273
0.5,4,4,intercept,94,1,2,35,1.0963
0.5,4,7,intercept,293,1,7,152,1.0896
0.5,4,9,intercept,90,1,2,40,2.1688
0.6,0,0,intercept,329,1,8,170,1.1273
0.6,0,4,intercept,94,1,2,35,1.0963
0.6,0,7,intercept,293,1,7,152,1.0896
0.6,0,9,intercept,90,1,2,40,2.1688
0.6,1,0,intercept,329,1,8,170,1.1273
0.6,1,4,intercept,94,1,2,35,1.0963
0.6,1,7,intercept,293,1,7,152,1.0896
0.6,1,9,intercept,90,1,2,40,2.1688
0.6,2,0,intercept,329,1,8,170,1.1273
0.6,2,4,intercept,94,1,2,35,1.0963
0.6,2,7,intercept,293,1,7,152,1.0896
0.6,2,9,intercept,90,1,2,40,2.1688
0.6,3,0,intercept,329,1,8,170,1.1273
0.6,3,4,intercept,94,1,2,35,1.0963
0.6,3,7,intercept,293,1,7,152,1.0896
0.6,3,9,intercept,90,1,2,40,2.1688
0.6,4,0,intercept,329,1,8,170,1.1273
0.6,4,4,intercept,94,1,2,35,1.0963
0.6,4,7,intercept,293,1,7,152,1.0896
0.6,4,9,intercept,90,1,2,40,2.1688
0.7,0,0,intercept,329,1,8,170,1.1273
0.7,0,4,intercept,94,1,2,35,1.0963
0.7,0,7,intercept,293,1,7,152,1.0896
0.7,0,9,intercept,90,1,2,40,2.1688
0.7,1,0,intercept,329,1,8,170,1.1273
0.7,1,4,intercept,94,1,2,35,1.0963
0.7,1,7,intercept,293,1,7,152,1.0896
0.7,1,9,intercept,90,1,2,40,2.1688
0.7,2,0,intercept,329,1,8,170,1.1273
0.7,2,4,intercept,94,1,2,35,1.0963
0.7,2,7,intercept,293,1,7,152,1.0896
0.7,2,9,intercept,90,1,2,40,2.1688
0.7,3,0,intercept,329,1,8,170,1.1273
0.7,3,4,intercept,94,1,2,35,1.0963
0.7,3,7,intercept,293,1,7,152,1.0896
0.7,3,9,intercept,90,1,2,40,2.1688
0.7,4,0,intercept,329,1,8,170,1.1273
0.7,4,4,intercept,94,1,2,35,1.0963
0.7,4,7,intercept,293,1,7,152,1.0896
0.7,4,9,intercept,90,1,2,40,2.1688
0.8,0,0,intercept,329,1,8,170,1.1273
0.8,0,4,intercept,94,1,2,35,1.0963
0.8,0,7,intercept,293,1,7,152,1.0896
