event_id,frame,type,team,pcf_in_area,dist_to_goal_m,kept
3,45,PASS,Away,0.6789,61.99,1
4,77,PASS,Away,0.3034,49.25,1
5,191,PASS,Away,0.6522,45.19,1
6,279,PASS,Away,0.367,51.84,1
7,346,BALL LOST,Away,0.753,62.8,0
9,378,BALL LOST,Home,0.2942,79.69,0
11,453,BALL LOST,Away,0.8129,61.52,0
12,497,CHALLENGE,Away,0.2963,41.91,0
13,498,CHALLENGE,Home,0.4059,68.82,0
15,498,PASS,Home,0.4059,68.82,1
16,536,PASS,Home,0.1835,50.19,1
17,572,BALL LOST,Home,0.3177,53.97,0
19,763,PASS,Away,0.5226,63.44,1
20,784,PASS,Away,0.3143,55.28,1
21,834,PASS,Away,0.5679,56.22,1
22,976,PASS,Away,0.3849,49.34,1
23,1110,BALL LOST,Away,0.7106,48.69,0
25,1134,PASS,Home,0.6757,76.8,1
26,1154,PASS,Home,0.5871,75.58,1
27,1226,PASS,Home,0.405,58.53,1
28,1370,BALL LOST,Home,0.3616,22.06,0
32,2143,PASS,Home,0.9914,33.32,1
33,2263,PASS,Home,0.4515,27.12,1
34,2289,SHOT,Home,0.3428,8.72,0
36,3675,PASS,Away,0.8593,51.94,1
37,3780,PASS,Away,0.4413,60.45,1
38,3829,PASS,Away,0.4507,62.95,1
39,3882,PASS,Away,0.3783,65.84,1
40,3930,PASS,Away,0.4689,79.14,1
43,4386,PASS,Home,0.9649,64.23,1
44,4445,BALL LOST,Home,0.1645,53.01,0
46,4489,BALL LOST,Away,0.391,62.53,0
48,4620,BALL LOST,Home,0.4883,74.03,0
50,4709,BALL LOST,Away,0.4482,70.58,0
54,5057,PASS,Away,0.9081,70.59,1
55,5081,BALL LOST,Away,0.4221,65.98,0
57,5149,PASS,Home,0.4636,83.45,1
58,5202,BALL LOST,Home,0.3384,76.8,0
59,5228,CHALLENGE,Home,0.4005,71.24,0
60,5228,CHALLENGE,Away,0.3657,44.27,0
62,5228,BALL LOST,Away,0.3657,44.27,0
64,5316,BALL LOST,Home,0.3032,84.45,0
66,5385,PASS,Away,0.3606,67.93,1
67,5431,PASS,Away,0.2769,62.47,1
68,5507,BALL LOST,Away,0.2354,40.33,0
70,5520,BALL LOST,Home,0.5911,74.35,0
72,5627,CHALLENGE,Home,0.5144,91.41,0
74,5627,PASS,Home,0.5144,91.41,0
75,5628,CHALLENGE,Away,0.1555,16.42,0
76,5628,BALL LOST,Away,0.1555,16.42,0
77,5663,PASS,Home,0.6888,86.94,1
78,5761,PASS,Home,0.7385,66.22,1
79,5923,SHOT,Home,0.5291,23.07,0
81,6685,PASS,Away,0.9924,100.76,1
82,6779,BALL LOST,Away,0.3298,64.3,0
84,6863,CHALLENGE,Away,0.4179,57.97,0
86,6863,PASS,Away,0.4179,57.97,0
87,6864,BALL LOST,Home,0.2708,50.62,0
88,6905,PASS,Away,0.263,55.46,1
89,6987,BALL LOST,Away,0.9512,46.44,0
90,7041,CHALLENGE,Home,0.6196,95.55,0
92,7041,PASS,Home,0.6196,95.55,0
93,7043,CHALLENGE,Away,0.1653,12.97,0
94,7199,BALL LOST,Home,0.4294,101.05,0
96,7203,PASS,Away,0.4228,36.06,1
97,7266,PASS,Away,0.2926,33.95,1
98,7334,PASS,Away,0.4817,41.38,1
99,7404,PASS,Away,0.9621,49.38,1
100,7465,BALL LOST,Away,0.2353,29.34,0
102,7472,BALL LOST,Home,0.5899,85.99,0
104,7519,PASS,Away,0.4308,31.04,1
105,7603,PASS,Away,0.7667,42.43,1
106,7698,CHALLENGE,Away,0.2429,31.78,0
107,7698,BALL LOST,Away,0.2429,31.78,0
108,7699,CHALLENGE,Home,0.4941,85.67,0
110,7753,SHOT,Away,0.3587,25.19,0
112,8482,BALL LOST,Home,0.9919,101.77,0
113,8576,CHALLENGE,Away,0.4811,66.41,0
115,8576,BALL LOST,Away,0.4811,66.41,0
117,8581,BALL LOST,Home,0.352,43.31,0
119,8650,PASS,Away,0.3974,70.7,1
120,8686,BALL LOST,Away,0.3845,79.92,0
124,8868,PASS,Away,0.3795,88.68,1
125,8937,BALL LOST,Away,0.6535,79.8,0
129,9215,PASS,Away,0.9728,34.59,1
130,9306,PASS,Away,0.8093,32.67,1
131,9337,BALL LOST,Away,0.4753,28.85,0
133,9390,PASS,Home,0.362,75.7,1
134,9599,PASS,Home,0.485,19.84,1
135,9628,SHOT,Home,0.4311,9.8,0
139,10387,PASS,Home,0.9921,33.34,1
140,10453,PASS,Home,0.3965,28.6,1
141,10493,PASS,Home,0.4031,30.39,1
142,10551,PASS,Home,0.4869,24.21,1
143,10613,BALL LOST,Home,0.5322,28.4,0
145,10653,BALL LOST,Away,0.3669,96.48,0
146,10708,CHALLENGE,Home,0.4748,18.03,0
148,10708,PASS,Home,0.4748,18.03,0
149,10709,CHALLENGE,Away,0.3369,89.04,0
150,10742,BALL LOST,Home,0.291,18.22,0
152,10761,BALL LOST,Away,0.5116,91.18,0
153,10801,CHALLENGE,Home,0.5334,27.41,0
154,10801,CHALLENGE,Away,0.254,81.2,0
156,11586,PASS,Away,0.992,82.75,1
157,11674,PASS,Away,0.9394,72.46,1
158,11727,PASS,Away,0.6191,68.37,1
159,11788,PASS,Away,0.2006,57.97,1
160,11831,PASS,Away,0.3111,53.11,1
161,11882,PASS,Away,0.5709,41.79,1
162,11987,BALL LOST,Away,0.6979,34.81,0
168,13543,PASS,Home,0.9921,101.84,1
169,13625,PASS,Home,0.2424,58.38,1
170,13672,BALL LOST,Home,0.5938,66.92,0
172,13701,BALL LOST,Away,0.4134,65.19,0
174,13739,BALL LOST,Home,0.3744,58.54,0
176,13766,BALL LOST,Away,0.4503,67.93,0
178,13843,CHALLENGE,Home,0.181,21.24,0
179,13843,BALL LOST,Home,0.181,21.24,0
180,13844,CHALLENGE,Away,0.6532,85.88,0
184,14574,PASS,Home,0.944,38.35,1
185,14607,PASS,Home,0.1926,27.53,1
186,14637,PASS,Home,0.7542,37.88,1
187,14730,BALL LOST,Home,0.3498,15.29,0
