threshold,n_moments,frac_moments,retention
0.3,1156,0.8818,0.6047
0.32,1109,0.8459,0.6078
0.34,1052,0.8024,0.6112
0.36,982,0.749,0.6222
0.38,916,0.6987,0.6288
0.4,869,0.6629,0.6306
0.42,813,0.6201,0.6421
0.44,746,0.569,0.6542
0.46,700,0.5339,0.6671
0.48,659,0.5027,0.6737
0.5,625,0.4767,0.6768
0.52,589,0.4493,0.6893
0.54,554,0.4226,0.7058
0.56,528,0.4027,0.7159
0.58,501,0.3822,0.7226
0.6,463,0.3532,0.7192
0.62,435,0.3318,0.7333
0.64,416,0.3173,0.7428
0.66,380,0.2899,0.7526
0.68,359,0.2738,0.7521
0.7,340,0.2593,0.7676
0.72,321,0.2449,0.7757
0.74,300,0.2288,0.7767
0.76,283,0.2159,0.7739
0.78,270,0.2059,0.7778
0.8,257,0.196,0.7704
0.82,240,0.1831,0.7833
0.84,223,0.1701,0.7848
0.86,207,0.1579,0.7826
0.88,195,0.1487,0.7949
0.9,169,0.1289,0.7929
0.92,148,0.1129,0.777
0.94,126,0.0961,0.7698
0.96,99,0.0755,0.7576
0.98,69,0.0526,0.7101
1.0,0,0.0,
