match_id,event_type,ball_dist_m,s_r_ball,s_r_top_attacker
3930158,Pressure,47.71,0.6071,0.6615
3930158,Pass,50.6,0.5988,0.6691
3930158,Ball Receipt*,49.32,0.6024,0.6503
3930158,Pass,49.32,0.6024,0.6503
3930158,Ball Receipt*,52.1,0.5946,0.6277
3930158,Pass,53.71,0.5902,0.6189
3930158,Ball Receipt*,39.4,0.6334,0.6612
3930158,Carry,39.4,0.6334,0.6612
3930158,Miscontrol,44.14,0.618,0.6607
3930158,Dispossessed,56.57,0.5826,0.6084
3930158,Ball Receipt*,41.58,0.6261,0.6342
3930158,Carry,41.58,0.6261,0.6342
3930158,Ball Receipt*,57.88,0.5792,0.615
3930158,Carry,57.88,0.5792,0.615
3930158,Pass,62.01,0.5689,0.6037
3930158,Pass,41.17,0.6275,0.6592
3930158,Ball Receipt*,39.26,0.6339,0.659
3930158,Carry,39.26,0.6339,0.659
3930158,Ball Receipt*,57.64,0.5798,0.5957
3930158,Carry,57.64,0.5798,0.5957
3930158,Pass,34.87,0.6494,0.6494
3930158,Pass,38.18,0.6376,0.697
3930158,Foul Won,66.82,0.5576,0.5929
3930158,Foul Won,59.26,0.5757,0.6642
3930158,Ball Receipt*,73.8,0.5422,0.6376
3930158,Pass,35.5,0.6471,0.7285
3930158,Pass,46.02,0.6122,0.618
3930158,Ball Receipt*,63.15,0.5662,0.6342
3930158,Duel,64.27,0.5635,0.6343
3930158,Interception,25.83,0.6863,0.7436
3930158,Ball Receipt*,40.75,0.6289,0.6817
3930158,Miscontrol,39.9,0.6317,0.6857
3930158,Foul Won,74.46,0.5408,0.636
3930158,Ball Receipt*,50.72,0.5985,0.6855
3930158,Carry,50.72,0.5985,0.6855
3930158,Ball Receipt*,57.25,0.5808,0.6079
3930158,Carry,57.25,0.5808,0.6079
3930158,Ball Receipt*,58.35,0.578,0.6211
3930158,Carry,58.35,0.578,0.6211
3930158,Pass,57.46,0.5803,0.6209
3930158,Ball Receipt*,51.52,0.5962,0.6476
3930158,Carry,51.52,0.5962,0.6476
3930158,Ball Receipt*,62.86,0.5669,0.633
3930158,Carry,62.86,0.5669,0.633
3930158,Foul Won,61.65,0.5698,0.609
3930158,Ball Receipt*,51.95,0.595,0.6269
3930158,Carry,51.95,0.595,0.6269
3930158,Ball Receipt*,66.18,0.5591,0.6995
3930158,Dispossessed,70.35,0.5496,0.6342
3930159,Ball Receipt*,39.93,0.6316,0.7357
3930159,Pass,39.93,0.6316,0.7357
3930159,Ball Receipt*,47.99,0.6063,0.6649
3930159,Carry,47.99,0.6063,0.6649
3930159,Pass,48.05,0.6061,0.6616
3930159,Pass,41.5,0.6264,0.6465
3930159,Duel,58.77,0.5769,0.6032
3930159,Ball Receipt*,57.9,0.5792,0.6392
3930159,Miscontrol,57.9,0.5792,0.6392
3930159,Ball Receipt*,68.62,0.5535,0.625
3930159,Ball Recovery,26.58,0.683,0.7482
3930159,Carry,26.58,0.683,0.7482
3930159,Pass,29.33,0.6711,0.7515
3930159,Ball Receipt*,44.22,0.6177,0.7644
3930159,Carry,44.22,0.6177,0.7644
3930159,Pass,45.58,0.6135,0.6347
3930159,Ball Receipt*,48.75,0.6041,0.6413
3930159,Carry,48.75,0.6041,0.6413
3930159,Pass,52.83,0.5926,0.6346
3930159,Ball Receipt*,53.72,0.5902,0.6122
3930159,Carry,53.72,0.5902,0.6122
3930159,Ball Receipt*,56.17,0.5836,0.6498
3930159,Pass,56.17,0.5836,0.6498
3930159,Pass,38.6,0.6361,0.6934
3930159,Ball Receipt*,38.44,0.6367,0.6483
3930159,Carry,38.44,0.6367,0.6483
3930159,Pass,39.45,0.6332,0.7119
3930159,Ball Receipt*,36.6,0.6431,0.6674
3930159,Pass,36.6,0.6431,0.6674
3930159,Ball Receipt*,32.1,0.6599,0.7213
3930159,Pass,31.69,0.6616,0.7231
3930159,Ball Receipt*,60.69,0.5722,0.6192
3930159,Duel,61.8,0.5694,0.6194
3930159,Pass,44.15,0.6179,0.6752
3930159,Ball Receipt*,54.75,0.5874,0.664
3930159,Pass,54.75,0.5874,0.664
3930159,Ball Receipt*,44.41,0.6172,0.6452
3930159,Carry,44.41,0.6172,0.6452
3930159,Pass,44.41,0.6172,0.6544
3930159,Ball Receipt*,43.34,0.6205,0.6877
3930159,Pass,43.34,0.6205,0.6877
3930159,Ball Receipt*,52.47,0.5936,0.6769
3930159,Pass,52.47,0.5936,0.6769
3930159,Pass,39.29,0.6338,0.6625
3930159,Duel,60.69,0.5722,0.6398
3930159,Ball Receipt*,34.38,0.6512,0.6795
3930159,Carry,34.38,0.6512,0.6795
3930159,Ball Receipt*,51.8,0.5954,0.6265
3930159,Carry,51.8,0.5954,0.6265
3930159,Pass,51.8,0.5954,0.631
3930159,Ball Receipt*,51.57,0.596,0.6347
3930159,Carry,51.57,0.596,0.6347
3930159,Pass,51.0,0.5977,0.6307
3930159,Ball Receipt*,42.49,0.6232,0.6337
3930159,Pass,42.49,0.6232,0.6337
3930159,Ball Receipt*,41.44,0.6266,0.6477
3930159,Carry,41.44,0.6266,0.6477
3930159,Pass,45.02,0.6152,0.6403
3930159,Ball Receipt*,54.41,0.5883,0.6219
3930159,Carry,54.41,0.5883,0.6219
3930159,Pass,52.34,0.5939,0.6238
3930159,Ball Receipt*,72.09,0.5459,0.6891
3930159,Pass,37.52,0.6399,0.7268
3930159,Pass,39.62,0.6327,0.6866
3930159,Ball Receipt*,45.35,0.6142,0.6932
3930159,Pass,45.33,0.6143,0.6934
3930159,Ball Receipt*,36.83,0.6423,0.6909
3930159,Carry,36.83,0.6423,0.6909
3930159,Pass,38.82,0.6354,0.6636
3930159,Pressure,47.95,0.6064,0.6379
3930159,Foul Committed,48.32,0.6053,0.633
3930159,Pass,28.98,0.6726,0.6895
3930159,Ball Receipt*,40.37,0.6301,0.6301
3930159,Carry,40.37,0.6301,0.6301
3930159,Pass,40.37,0.6301,0.6329
3930159,Ball Receipt*,47.82,0.6068,0.6437
3930159,Carry,47.82,0.6068,0.6437
3930159,Pass,52.23,0.5942,0.6546
3930159,Ball Receipt*,45.29,0.6144,0.6584
3930159,Carry,45.29,0.6144,0.6584
3930159,Ball Receipt*,37.51,0.6399,0.6557
3930159,Carry,37.51,0.6399,0.6557
3930159,Pass,37.51,0.6399,0.6566
3930159,Ball Receipt*,51.67,0.5958,0.6572
3930159,Pass,51.67,0.5958,0.6572
3930159,Ball Receipt*,46.86,0.6097,0.7158
3930159,Pass,46.86,0.6097,0.7158
3930159,Ball Receipt*,57.79,0.5794,0.6681
3930159,Carry,57.79,0.5794,0.6681
3930159,Foul Won,50.65,0.5986,0.6208
3930159,Carry,50.65,0.5986,0.6208
3930159,Pass,41.34,0.6269,0.6615
3930159,Interception,38.5,0.6365,0.6473
3930159,Carry,38.5,0.6365,0.6473
3930159,Ball Receipt*,70.96,0.5483,0.6659
3930159,Pass,10.57,0.7762,0.7762
3930159,Ball Receipt*,18.41,0.7238,0.7357
3930159,Carry,18.41,0.7238,0.7357
3930159,Pass,18.41,0.7238,0.7436
3930159,Ball Receipt*,18.75,0.722,0.7637
3930159,Carry,18.75,0.722,0.7637
3930159,Ball Receipt*,55.43,0.5856,0.6586
3930159,Pass,56.26,0.5834,0.6576
3930159,Ball Receipt*,51.57,0.5961,0.6687
3930159,Miscontrol,51.82,0.5954,0.6677
3930159,Pass,37.0,0.6417,0.6888
3930159,Ball Receipt*,48.05,0.6061,0.6643
3930159,Carry,48.05,0.6061,0.6643
3930159,Miscontrol,47.98,0.6063,0.6648
3930159,Pass,48.61,0.6045,0.6373
3930159,Pressure,37.82,0.6388,0.6921
3930159,Ball Receipt*,66.1,0.5592,0.7926
3930159,Pass,38.44,0.6367,0.6504
3930159,Pass,29.86,0.669,0.7455
3930159,Pass,35.44,0.6473,0.6885
3930159,Ball Receipt*,45.59,0.6135,0.661
3930159,Carry,45.59,0.6135,0.661
3930159,Ball Receipt*,59.68,0.5747,0.6407
