threshold,distance_m,frac_frames,frames_per_match,frac_frames_top_attacker
0.6287,40.81,0.499,126.75,0.8814
0.6334,39.4,0.4562,115.88,0.8342
0.6381,38.03,0.4104,104.25,0.782
0.6428,36.7,0.3755,95.38,0.7293
0.6475,35.4,0.3455,87.75,0.6836
0.6522,34.13,0.31,78.75,0.627
0.6569,32.89,0.2879,73.12,0.5758
0.6616,31.68,0.249,63.25,0.5167
0.6662,30.53,0.2259,57.38,0.468
0.6709,29.39,0.2032,51.62,0.4227
0.6756,28.27,0.1855,47.12,0.3701
0.6803,27.19,0.1619,41.12,0.3263
0.685,26.13,0.1417,36.0,0.2908
0.6897,25.1,0.1334,33.88,0.2579
0.6944,24.1,0.1225,31.12,0.2318
0.6991,23.12,0.1132,28.75,0.2087
0.7038,22.17,0.1014,25.75,0.1841
0.7085,21.25,0.092,23.38,0.1634
0.7132,20.35,0.0846,21.5,0.1462
0.7179,19.48,0.0768,19.5,0.1304
0.7226,18.63,0.0684,17.38,0.1206
0.7273,17.81,0.061,15.5,0.1093
0.732,17.01,0.0566,14.38,0.0979
0.7367,16.23,0.0463,11.75,0.0832
0.7414,15.48,0.0453,11.5,0.0778
0.7461,14.75,0.0399,10.12,0.0655
0.7508,14.04,0.0354,9.0,0.0556
0.7555,13.35,0.034,8.62,0.0502
0.7602,12.69,0.0315,8.0,0.0468
0.7649,12.04,0.0271,6.88,0.0404
0.7696,11.42,0.0241,6.12,0.0364
0.7743,10.81,0.0207,5.25,0.031
0.779,10.23,0.0182,4.62,0.0276
0.7837,9.66,0.0133,3.38,0.0226
0.7884,9.12,0.0108,2.75,0.0177
0.7931,8.59,0.0054,1.38,0.0118
0.7978,8.08,0.0039,1.0,0.0074
0.8025,7.59,0.0034,0.88,0.0064
0.8072,7.12,0.0034,0.88,0.0064
0.8119,6.67,0.001,0.25,0.0039
