x,y,radius,theta,random_rate,scripted_rate,in_band,score
84.0,34.0,6.0,0.55,0.01,0.395,0,0.095
84.0,34.0,12.0,0.45,0.015,0.41,0,0.095
82.0,34.0,6.0,0.45,0.025,0.425,0,0.1
82.0,34.0,12.0,0.5,0.025,0.425,0,0.1
86.0,34.0,10.0,0.45,0.015,0.385,0,0.1
84.0,34.0,8.0,0.5,0.01,0.385,0,0.105
86.0,34.0,6.0,0.5,0.005,0.39,0,0.105
88.0,34.0,8.0,0.35,0.015,0.38,0,0.105
82.0,34.0,8.0,0.5,0.02,0.36,0,0.12
82.0,34.0,10.0,0.5,0.015,0.435,0,0.12
86.0,34.0,8.0,0.45,0.01,0.43,0,0.12
88.0,34.0,10.0,0.35,0.005,0.435,0,0.13
88.0,34.0,6.0,0.4,0.01,0.34,0,0.15
84.0,34.0,10.0,0.45,0.015,0.48,0,0.165
86.0,34.0,12.0,0.4,0.015,0.485,0,0.17
84.0,34.0,10.0,0.5,0.015,0.305,0,0.18
88.0,34.0,12.0,0.4,0.005,0.315,0,0.18
88.0,34.0,10.0,0.4,0.0,0.3,0,0.2
84.0,34.0,6.0,0.5,0.01,0.515,0,0.205
86.0,34.0,6.0,0.45,0.005,0.515,0,0.21
84.0,34.0,12.0,0.5,0.005,0.28,0,0.215
86.0,34.0,12.0,0.45,0.01,0.275,0,0.215
88.0,34.0,12.0,0.35,0.015,0.53,0,0.215
86.0,34.0,6.0,0.55,0.005,0.27,0,0.225
88.0,34.0,6.0,0.35,0.015,0.54,0,0.225
86.0,34.0,8.0,0.5,0.0,0.265,0,0.235
82.0,34.0,8.0,0.45,0.03,0.57,0,0.24
88.0,34.0,8.0,0.3,0.025,0.565,0,0.24
82.0,34.0,10.0,0.55,0.01,0.245,0,0.245
82.0,34.0,12.0,0.55,0.005,0.245,0,0.25
84.0,34.0,8.0,0.45,0.01,0.56,0,0.25
82.0,34.0,6.0,0.5,0.025,0.215,0,0.26
86.0,34.0,10.0,0.4,0.015,0.575,0,0.26
88.0,34.0,8.0,0.4,0.005,0.235,0,0.26
88.0,34.0,10.0,0.3,0.02,0.585,0,0.265
82.0,34.0,6.0,0.4,0.045,0.62,0,0.275
84.0,34.0,12.0,0.4,0.03,0.605,0,0.275
86.0,34.0,8.0,0.4,0.01,0.585,0,0.275
84.0,34.0,8.0,0.55,0.01,0.2,0,0.29
86.0,34.0,10.0,0.5,0.01,0.195,0,0.295
86.0,34.0,6.0,0.6,0.005,0.195,0,0.3
82.0,34.0,12.0,0.45,0.04,0.645,0,0.305
88.0,34.0,6.0,0.45,0.0,0.19,0,0.31
86.0,34.0,6.0,0.4,0.01,0.625,0,0.315
84.0,34.0,10.0,0.55,0.01,0.17,0,0.32
82.0,34.0,8.0,0.55,0.01,0.165,0,0.325
88.0,34.0,12.0,0.45,0.0,0.175,0,0.325
82.0,34.0,10.0,0.45,0.02,0.65,0,0.33
84.0,34.0,10.0,0.4,0.02,0.65,0,0.33
84.0,34.0,6.0,0.45,0.015,0.65,0,0.335
88.0,34.0,8.0,0.45,0.005,0.16,0,0.335
88.0,34.0,10.0,0.45,0.0,0.165,0,0.335
84.0,34.0,6.0,0.6,0.01,0.145,0,0.345
86.0,34.0,12.0,0.5,0.005,0.15,0,0.345
88.0,34.0,6.0,0.3,0.025,0.67,0,0.345
86.0,34.0,12.0,0.35,0.025,0.675,0,0.35
84.0,34.0,8.0,0.4,0.025,0.685,0,0.36
82.0,34.0,10.0,0.6,0.005,0.13,0,0.365
84.0,34.0,12.0,0.55,0.005,0.13,0,0.365
86.0,34.0,8.0,0.55,0.0,0.135,0,0.365
82.0,34.0,6.0,0.55,0.02,0.105,0,0.375
82.0,34.0,12.0,0.6,0.0,0.12,0,0.38
86.0,34.0,6.0,0.35,0.02,0.7,0,0.38
88.0,34.0,8.0,0.5,0.0,0.12,0,0.38
82.0,34.0,6.0,0.35,0.055,0.745,0,0.39
82.0,34.0,8.0,0.6,0.01,0.1,0,0.39
88.0,34.0,6.0,0.5,0.0,0.11,0,0.39
88.0,34.0,12.0,0.3,0.025,0.715,0,0.39
82.0,34.0,8.0,0.4,0.04,0.735,0,0.395
84.0,34.0,8.0,0.6,0.005,0.095,0,0.4
86.0,34.0,10.0,0.35,0.02,0.72,0,0.4
86.0,34.0,8.0,0.35,0.01,0.715,0,0.405
82.0,34.0,10.0,0.4,0.05,0.76,0,0.41
88.0,34.0,10.0,0.5,0.0,0.09,0,0.41
86.0,34.0,10.0,0.55,0.0,0.085,0,0.415
84.0,34.0,10.0,0.6,0.0,0.08,0,0.42
82.0,34.0,6.0,0.6,0.01,0.065,0,0.425
88.0,34.0,6.0,0.55,0.0,0.075,0,0.425
88.0,34.0,8.0,0.55,0.0,0.075,0,0.425
84.0,34.0,12.0,0.6,0.0,0.07,0,0.43
86.0,34.0,6.0,0.3,0.035,0.77,0,0.435
88.0,34.0,12.0,0.5,0.0,0.065,0,0.435
84.0,34.0,12.0,0.35,0.045,0.785,0,0.44
86.0,34.0,12.0,0.55,0.0,0.06,0,0.44
86.0,34.0,8.0,0.6,0.0,0.055,0,0.445
88.0,34.0,6.0,0.6,0.0,0.055,0,0.445
84.0,34.0,6.0,0.4,0.02,0.77,0,0.45
84.0,34.0,10.0,0.35,0.04,0.79,0,0.45
86.0,34.0,12.0,0.3,0.035,0.79,0,0.455
82.0,34.0,12.0,0.4,0.055,0.815,0,0.46
86.0,34.0,10.0,0.6,0.0,0.04,0,0.46
88.0,34.0,8.0,0.6,0.0,0.035,0,0.465
86.0,34.0,12.0,0.6,0.0,0.03,0,0.47
88.0,34.0,10.0,0.55,0.0,0.03,0,0.47
86.0,34.0,10.0,0.3,0.045,0.82,0,0.475
82.0,34.0,8.0,0.35,0.065,0.845,0,0.48
88.0,34.0,12.0,0.55,0.0,0.02,0,0.48
84.0,34.0,8.0,0.35,0.025,0.81,0,0.485
84.0,34.0,10.0,0.3,0.08,0.865,0,0.485
86.0,34.0,8.0,0.3,0.035,0.82,0,0.485
88.0,34.0,10.0,0.6,0.0,0.015,0,0.485
88.0,34.0,12.0,0.6,0.0,0.01,0,0.49
82.0,34.0,6.0,0.3,0.07,0.87,0,0.5
84.0,34.0,6.0,0.35,0.03,0.83,0,0.5
84.0,34.0,8.0,0.3,0.07,0.87,0,0.5
82.0,34.0,8.0,0.3,0.105,0.9,0,0.505
82.0,34.0,10.0,0.35,0.07,0.88,0,0.51
