policy,x,y,radius,episode,arrived,max_control
random,82.0,34.0,6.0,0,0,
random,82.0,34.0,8.0,0,0,
random,82.0,34.0,10.0,0,0,
random,82.0,34.0,12.0,0,0,
random,84.0,34.0,6.0,0,0,
random,84.0,34.0,8.0,0,0,
random,84.0,34.0,10.0,0,0,
random,84.0,34.0,12.0,0,0,
random,86.0,34.0,6.0,0,0,
random,86.0,34.0,8.0,0,0,
random,86.0,34.0,10.0,0,0,
random,86.0,34.0,12.0,0,0,
random,88.0,34.0,6.0,0,0,
random,88.0,34.0,8.0,0,0,
random,88.0,34.0,10.0,0,0,
random,88.0,34.0,12.0,0,0,
random,82.0,34.0,6.0,1,0,
random,82.0,34.0,8.0,1,0,
random,82.0,34.0,10.0,1,0,
random,82.0,34.0,12.0,1,0,
random,84.0,34.0,6.0,1,0,
random,84.0,34.0,8.0,1,0,
random,84.0,34.0,10.0,1,0,
random,84.0,34.0,12.0,1,0,
random,86.0,34.0,6.0,1,0,
random,86.0,34.0,8.0,1,0,
random,86.0,34.0,10.0,1,0,
random,86.0,34.0,12.0,1,0,
random,88.0,34.0,6.0,1,0,
random,88.0,34.0,8.0,1,0,
random,88.0,34.0,10.0,1,0,
random,88.0,34.0,12.0,1,0,
random,82.0,34.0,6.0,2,0,
random,82.0,34.0,8.0,2,0,
random,82.0,34.0,10.0,2,0,
random,82.0,34.0,12.0,2,0,
random,84.0,34.0,6.0,2,0,
random,84.0,34.0,8.0,2,0,
random,84.0,34.0,10.0,2,0,
random,84.0,34.0,12.0,2,0,
random,86.0,34.0,6.0,2,0,
random,86.0,34.0,8.0,2,0,
random,86.0,34.0,10.0,2,0,
random,86.0,34.0,12.0,2,0,
random,88.0,34.0,6.0,2,0,
random,88.0,34.0,8.0,2,0,
random,88.0,34.0,10.0,2,0,
random,88.0,34.0,12.0,2,0,
random,82.0,34.0,6.0,3,0,
random,82.0,34.0,8.0,3,1,0.05551
random,82.0,34.0,10.0,3,1,0.073899
random,82.0,34.0,12.0,3,1,0.093634
random,84.0,34.0,6.0,3,0,
random,84.0,34.0,8.0,3,1,0.040149
random,84.0,34.0,10.0,3,1,0.050441
random,84.0,34.0,12.0,3,1,0.065118
random,86.0,34.0,6.0,3,0,
random,86.0,34.0,8.0,3,0,
random,86.0,34.0,10.0,3,1,0.034723
random,86.0,34.0,12.0,3,1,0.043715
random,88.0,34.0,6.0,3,0,
random,88.0,34.0,8.0,3,0,
random,88.0,34.0,10.0,3,0,
random,88.0,34.0,12.0,3,1,0.030705
random,82.0,34.0,6.0,4,0,
random,82.0,34.0,8.0,4,0,
random,82.0,34.0,10.0,4,0,
random,82.0,34.0,12.0,4,0,
random,84.0,34.0,6.0,4,0,
random,84.0,34.0,8.0,4,0,
random,84.0,34.0,10.0,4,0,
random,84.0,34.0,12.0,4,0,
random,86.0,34.0,6.0,4,0,
random,86.0,34.0,8.0,4,0,
random,86.0,34.0,10.0,4,0,
random,86.0,34.0,12.0,4,0,
random,88.0,34.0,6.0,4,0,
random,88.0,34.0,8.0,4,0,
random,88.0,34.0,10.0,4,0,
random,88.0,34.0,12.0,4,0,
random,82.0,34.0,6.0,5,0,
random,82.0,34.0,8.0,5,0,
random,82.0,34.0,10.0,5,0,
random,82.0,34.0,12.0,5,0,
random,84.0,34.0,6.0,5,0,
random,84.0,34.0,8.0,5,0,
random,84.0,34.0,10.0,5,0,
random,84.0,34.0,12.0,5,0,
random,86.0,34.0,6.0,5,0,
random,86.0,34.0,8.0,5,0,
random,86.0,34.0,10.0,5,0,
random,86.0,34.0,12.0,5,0,
random,88.0,34.0,6.0,5,0,
random,88.0,34.0,8.0,5,0,
random,88.0,34.0,10.0,5,0,
random,88.0,34.0,12.0,5,0,
random,82.0,34.0,6.0,6,0,
random,82.0,34.0,8.0,6,0,
random,82.0,34.0,10.0,6,1,0.164759
random,82.0,34.0,12.0,6,1,0.149242
random,84.0,34.0,6.0,6,0,
random,84.0,34.0,8.0,6,0,
random,84.0,34.0,10.0,6,1,0.157328
random,84.0,34.0,12.0,6,1,0.149305
random,86.0,34.0,6.0,6,0,
random,86.0,34.0,8.0,6,0,
random,86.0,34.0,10.0,6,0,
random,86.0,34.0,12.0,6,1,0.147132
random,88.0,34.0,6.0,6,0,
random,88.0,34.0,8.0,6,0,
random,88.0,34.0,10.0,6,0,
random,88.0,34.0,12.0,6,0,
random,82.0,34.0,6.0,7,0,
random,82.0,34.0,8.0,7,0,
random,82.0,34.0,10.0,7,0,
random,82.0,34.0,12.0,7,0,
random,84.0,34.0,6.0,7,0,
random,84.0,34.0,8.0,7,0,
random,84.0,34.0,10.0,7,0,
random,84.0,34.0,12.0,7,0,
random,86.0,34.0,6.0,7,0,
random,86.0,34.0,8.0,7,0,
random,86.0,34.0,10.0,7,0,
random,86.0,34.0,12.0,7,0,
random,88.0,34.0,6.0,7,0,
random,88.0,34.0,8.0,7,0,
random,88.0,34.0,10.0,7,0,
random,88.0,34.0,12.0,7,0,
random,82.0,34.0,6.0,8,0,
random,82.0,34.0,8.0,8,0,
random,82.0,34.0,10.0,8,0,
random,82.0,34.0,12.0,8,0,
random,84.0,34.0,6.0,8,0,
random,84.0,34.0,8.0,8,0,
random,84.0,34.0,10.0,8,0,
random,84.0,34.0,12.0,8,0,
random,86.0,34.0,6.0,8,0,
random,86.0,34.0,8.0,8,0,
random,86.0,34.0,10.0,8,0,
random,86.0,34.0,12.0,8,0,
random,88.0,34.0,6.0,8,0,
random,88.0,34.0,8.0,8,0,
random,88.0,34.0,10.0,8,0,
random,88.0,34.0,12.0,8,0,
random,82.0,34.0,6.0,9,0,
random,82.0,34.0,8.0,9,0,
random,82.0,34.0,10.0,9,0,
random,82.0,34.0,12.0,9,1,0.3289
random,84.0,34.0,6.0,9,0,
random,84.0,34.0,8.0,9,0,
random,84.0,34.0,10.0,9,1,0.173596
random,84.0,34.0,12.0,9,1,0.239295
random,86.0,34.0,6.0,9,0,
random,86.0,34.0,8.0,9,1,0.160352
random,86.0,34.0,10.0,9,1,0.186221
random,86.0,34.0,12.0,9,1,0.202818
random,88.0,34.0,6.0,9,1,0.233993
random,88.0,34.0,8.0,9,1,0.190881
random,88.0,34.0,10.0,9,1,0.210425
random,88.0,34.0,12.0,9,1,0.196803
random,82.0,34.0,6.0,10,0,
random,82.0,34.0,8.0,10,0,
random,82.0,34.0,10.0,10,0,
random,82.0,34.0,12.0,10,0,
random,84.0,34.0,6.0,10,0,
random,84.0,34.0,8.0,10,0,
random,84.0,34.0,10.0,10,0,
random,84.0,34.0,12.0,10,0,
random,86.0,34.0,6.0,10,0,
random,86.0,34.0,8.0,10,0,
random,86.0,34.0,10.0,10,0,
random,86.0,34.0,12.0,10,0,
random,88.0,34.0,6.0,10,0,
random,88.0,34.0,8.0,10,0,
random,88.0,34.0,10.0,10,0,
random,88.0,34.0,12.0,10,0,
random,82.0,34.0,6.0,11,0,
random,82.0,34.0,8.0,11,1,0.446098
random,82.0,34.0,10.0,11,1,0.430702
random,82.0,34.0,12.0,11,1,0.40967
random,84.0,34.0,6.0,11,0,
random,84.0,34.0,8.0,11,0,
random,84.0,34.0,10.0,11,1,0.341918
random,84.0,34.0,12.0,11,1,0.350114
random,86.0,34.0,6.0,11,0,
random,86.0,34.0,8.0,11,0,
random,86.0,34.0,10.0,11,1,0.217131
random,86.0,34.0,12.0,11,1,0.27705
random,88.0,34.0,6.0,11,0,
random,88.0,34.0,8.0,11,0,
random,88.0,34.0,10.0,11,0,
random,88.0,34.0,12.0,11,1,0.164553
random,82.0,34.0,6.0,12,1,0.760226
random,82.0,34.0,8.0,12,1,0.650595
random,82.0,34.0,10.0,12,1,0.508224
random,82.0,34.0,12.0,12,1,0.412198
random,84.0,34.0,6.0,12,1,0.611205
random,84.0,34.0,8.0,12,1,0.581884
random,84.0,34.0,10.0,12,1,0.500596
random,84.0,34.0,12.0,12,1,0.420447
random,86.0,34.0,6.0,12,0,
random,86.0,34.0,8.0,12,1,0.481542
random,86.0,34.0,10.0,12,1,0.451888
random,86.0,34.0,12.0,12,1,0.409881
random,88.0,34.0,6.0,12,0,
random,88.0,34.0,8.0,12,0,
random,88.0,34.0,10.0,12,1,0.376824
random,88.0,34.0,12.0,12,1,0.359728
random,82.0,34.0,6.0,13,0,
random,82.0,34.0,8.0,13,0,
random,82.0,34.0,10.0,13,0,
random,82.0,34.0,12.0,13,0,
random,84.0,34.0,6.0,13,0,
random,84.0,34.0,8.0,13,0,
random,84.0,34.0,10.0,13,0,
random,84.0,34.0,12.0,13,0,
random,86.0,34.0,6.0,13,0,
random,86.0,34.0,8.0,13,0,
random,86.0,34.0,10.0,13,0,
random,86.0,34.0,12.0,13,0,
random,88.0,34.0,6.0,13,0,
random,88.0,34.0,8.0,13,0,
random,88.0,34.0,10.0,13,0,
random,88.0,34.0,12.0,13,0,
random,82.0,34.0,6.0,14,0,
random,82.0,34.0,8.0,14,0,
random,82.0,34.0,10.0,14,0,
random,82.0,34.0,12.0,14,1,0.176724
random,84.0,34.0,6.0,14,0,
random,84.0,34.0,8.0,14,0,
