policy,x,y,radius,theta,n,arrival_rate,success_rate
random,82.0,34.0,6.0,0.3,200,0.16,0.07
random,82.0,34.0,6.0,0.35,200,0.16,0.055
random,82.0,34.0,6.0,0.4,200,0.16,0.045
random,82.0,34.0,6.0,0.45,200,0.16,0.025
random,82.0,34.0,6.0,0.5,200,0.16,0.025
random,82.0,34.0,6.0,0.55,200,0.16,0.02
random,82.0,34.0,6.0,0.6,200,0.16,0.01
random,82.0,34.0,8.0,0.3,200,0.3,0.105
random,82.0,34.0,8.0,0.35,200,0.3,0.065
random,82.0,34.0,8.0,0.4,200,0.3,0.04
random,82.0,34.0,8.0,0.45,200,0.3,0.03
random,82.0,34.0,8.0,0.5,200,0.3,0.02
random,82.0,34.0,8.0,0.55,200,0.3,0.01
random,82.0,34.0,8.0,0.6,200,0.3,0.01
random,82.0,34.0,10.0,0.3,200,0.41,0.12
random,82.0,34.0,10.0,0.35,200,0.41,0.07
random,82.0,34.0,10.0,0.4,200,0.41,0.05
random,82.0,34.0,10.0,0.45,200,0.41,0.02
random,82.0,34.0,10.0,0.5,200,0.41,0.015
random,82.0,34.0,10.0,0.55,200,0.41,0.01
random,82.0,34.0,10.0,0.6,200,0.41,0.005
random,82.0,34.0,12.0,0.3,200,0.51,0.12
random,82.0,34.0,12.0,0.35,200,0.51,0.09
random,82.0,34.0,12.0,0.4,200,0.51,0.055
random,82.0,34.0,12.0,0.45,200,0.51,0.04
random,82.0,34.0,12.0,0.5,200,0.51,0.025
random,82.0,34.0,12.0,0.55,200,0.51,0.005
random,82.0,34.0,12.0,0.6,200,0.51,0.0
random,84.0,34.0,6.0,0.3,200,0.11,0.05
random,84.0,34.0,6.0,0.35,200,0.11,0.03
random,84.0,34.0,6.0,0.4,200,0.11,0.02
random,84.0,34.0,6.0,0.45,200,0.11,0.015
random,84.0,34.0,6.0,0.5,200,0.11,0.01
random,84.0,34.0,6.0,0.55,200,0.11,0.01
random,84.0,34.0,6.0,0.6,200,0.11,0.01
random,84.0,34.0,8.0,0.3,200,0.245,0.07
random,84.0,34.0,8.0,0.35,200,0.245,0.025
random,84.0,34.0,8.0,0.4,200,0.245,0.025
random,84.0,34.0,8.0,0.45,200,0.245,0.01
random,84.0,34.0,8.0,0.5,200,0.245,0.01
random,84.0,34.0,8.0,0.55,200,0.245,0.01
random,84.0,34.0,8.0,0.6,200,0.245,0.005
random,84.0,34.0,10.0,0.3,200,0.355,0.08
random,84.0,34.0,10.0,0.35,200,0.355,0.04
random,84.0,34.0,10.0,0.4,200,0.355,0.02
random,84.0,34.0,10.0,0.45,200,0.355,0.015
random,84.0,34.0,10.0,0.5,200,0.355,0.015
random,84.0,34.0,10.0,0.55,200,0.355,0.01
random,84.0,34.0,10.0,0.6,200,0.355,0.0
random,84.0,34.0,12.0,0.3,200,0.45,0.08
random,84.0,34.0,12.0,0.35,200,0.45,0.045
random,84.0,34.0,12.0,0.4,200,0.45,0.03
random,84.0,34.0,12.0,0.45,200,0.45,0.015
random,84.0,34.0,12.0,0.5,200,0.45,0.005
random,84.0,34.0,12.0,0.55,200,0.45,0.005
random,84.0,34.0,12.0,0.6,200,0.45,0.0
random,86.0,34.0,6.0,0.3,200,0.105,0.035
random,86.0,34.0,6.0,0.35,200,0.105,0.02
random,86.0,34.0,6.0,0.4,200,0.105,0.01
random,86.0,34.0,6.0,0.45,200,0.105,0.005
random,86.0,34.0,6.0,0.5,200,0.105,0.005
random,86.0,34.0,6.0,0.55,200,0.105,0.005
random,86.0,34.0,6.0,0.6,200,0.105,0.005
random,86.0,34.0,8.0,0.3,200,0.155,0.035
random,86.0,34.0,8.0,0.35,200,0.155,0.01
random,86.0,34.0,8.0,0.4,200,0.155,0.01
random,86.0,34.0,8.0,0.45,200,0.155,0.01
random,86.0,34.0,8.0,0.5,200,0.155,0.0
random,86.0,34.0,8.0,0.55,200,0.155,0.0
random,86.0,34.0,8.0,0.6,200,0.155,0.0
random,86.0,34.0,10.0,0.3,200,0.29,0.045
random,86.0,34.0,10.0,0.35,200,0.29,0.02
random,86.0,34.0,10.0,0.4,200,0.29,0.015
random,86.0,34.0,10.0,0.45,200,0.29,0.015
random,86.0,34.0,10.0,0.5,200,0.29,0.01
random,86.0,34.0,10.0,0.55,200,0.29,0.0
random,86.0,34.0,10.0,0.6,200,0.29,0.0
random,86.0,34.0,12.0,0.3,200,0.4,0.035
random,86.0,34.0,12.0,0.35,200,0.4,0.025
random,86.0,34.0,12.0,0.4,200,0.4,0.015
random,86.0,34.0,12.0,0.45,200,0.4,0.01
random,86.0,34.0,12.0,0.5,200,0.4,0.005
random,86.0,34.0,12.0,0.55,200,0.4,0.0
random,86.0,34.0,12.0,0.6,200,0.4,0.0
random,88.0,34.0,6.0,0.3,200,0.085,0.025
random,88.0,34.0,6.0,0.35,200,0.085,0.015
random,88.0,34.0,6.0,0.4,200,0.085,0.01
random,88.0,34.0,6.0,0.45,200,0.085,0.0
random,88.0,34.0,6.0,0.5,200,0.085,0.0
random,88.0,34.0,6.0,0.55,200,0.085,0.0
random,88.0,34.0,6.0,0.6,200,0.085,0.0
random,88.0,34.0,8.0,0.3,200,0.13,0.025
random,88.0,34.0,8.0,0.35,200,0.13,0.015
random,88.0,34.0,8.0,0.4,200,0.13,0.005
random,88.0,34.0,8.0,0.45,200,0.13,0.005
random,88.0,34.0,8.0,0.5,200,0.13,0.0
random,88.0,34.0,8.0,0.55,200,0.13,0.0
random,88.0,34.0,8.0,0.6,200,0.13,0.0
random,88.0,34.0,10.0,0.3,200,0.2,0.02
random,88.0,34.0,10.0,0.35,200,0.2,0.005
random,88.0,34.0,10.0,0.4,200,0.2,0.0
random,88.0,34.0,10.0,0.45,200,0.2,0.0
random,88.0,34.0,10.0,0.5,200,0.2,0.0
