update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,499.1,0.0,0.856716,35.0,5,-0.008964,0.026443,0.029799,3.303744,0.006257,0.0867,0.115596,-0.215067,-0.226274,0.072886,0.963932,0.0,1.0,0.919259,0.0,0.244344,0.256872,0.241913,0.256872,1.0
50,38400,0.0002954838709677419,523.6,0.02,0.87042,28.9,1133,-0.003521,0.010215,0.000998,1.998084,0.004274,0.043884,0.719314,-0.453844,-1.743814,-1.242496,0.180859,0.0,0.148438,3.008603,1.0,0.137549,0.111562,0.043306,0.707583,1.0
100,76800,0.00029087557603686633,524.4,0.06,0.977954,24.85,2393,-0.006717,0.00845,0.000838,2.250763,0.0049,0.051392,0.823994,0.264609,-1.688735,-2.512781,0.326562,0.0,0.247396,2.556438,1.0,0.058947,0.018947,0.011102,0.911003,1.0
150,115200,0.00028626728110599074,523.1,0.03,0.890523,35.72,3621,-0.006639,0.009644,0.000875,2.520462,0.005453,0.058929,0.765454,0.697303,-1.712173,-1.218032,0.504036,0.0,0.441406,2.124542,1.0,0.037264,0.00922,0.005588,0.947928,1.0
200,153600,0.0002816589861751152,527.5,0.04,0.908738,44.25,4533,-0.008512,0.004141,0.001161,2.415787,0.006064,0.077576,0.886204,0.606949,-0.854753,-0.831033,0.522917,0.0,0.303385,2.200791,0.0,0.027336,0.00594,0.003545,0.963179,1.0
250,192000,0.0002770506912442396,525.0,0.09,0.940267,42.61,5377,-0.005829,0.005515,0.001371,2.425545,0.004667,0.04837,0.851716,0.72252,-0.478434,-0.909253,0.489323,0.0,0.373698,2.135454,0.0,0.021293,0.004237,0.002476,0.971994,1.0
300,230400,0.00027244239631336403,526.2,0.05,0.89111,44.97,6104,-0.006558,0.00363,0.00199,2.329067,0.004067,0.041473,0.896869,0.633006,-0.254159,-0.12435,0.529557,0.0,0.429688,1.999167,0.0,0.017267,0.003193,0.001841,0.977699,1.0
350,268800,0.00026783410138248845,527.6,0.12,0.971517,63.37,6732,-0.007308,0.017446,0.002856,2.502107,0.005279,0.064819,0.609245,0.64167,-0.290404,0.132449,0.66263,0.0,0.731771,1.719346,3.0,0.01438,0.002509,0.001427,0.981684,1.0
400,307200,0.00026322580645161286,530.9,0.03,0.871942,82.19,7244,-0.007532,0.003343,0.003577,2.607564,0.005735,0.070312,0.879257,0.520036,-0.853645,-0.578536,0.78125,0.0,0.951823,1.362802,0.0,0.012158,0.002036,0.001134,0.984673,1.0
450,345600,0.0002586175115207373,530.4,0.07,0.944844,64.19,7788,-0.006456,0.01101,0.003605,2.627493,0.005706,0.068237,0.761118,0.385931,-0.43894,-0.132915,0.821484,0.0,0.971354,1.305186,1.0,0.010468,0.001703,0.000925,0.986904,1.0
