update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,472.9,0.0,0.856716,35.0,5,-0.008964,0.026443,0.029799,3.303744,0.006257,0.0867,0.115596,-0.215067,-0.226274,0.072886,0.963932,0.0,1.0,0.919259,0.0,0.244344,0.256872,0.241913,0.256872,1.0
50,38400,0.0002954838709677419,509.9,0.04,0.907954,27.7,1197,-0.006287,0.012187,0.000962,2.026489,0.006102,0.057983,0.711315,-1.027431,-1.847642,-1.615816,0.147917,0.0,0.136719,3.01469,1.0,0.127958,0.140844,0.042299,0.6889,1.0
100,76800,0.00029087557603686633,498.6,0.04,0.914348,29.11,2664,-0.005926,0.011859,0.000993,2.374245,0.005036,0.057037,0.702482,0.530348,-1.616686,-1.39993,0.365625,0.0,0.286458,2.334439,1.0,0.057876,0.028725,0.012245,0.901154,1.0
150,115200,0.00028626728110599074,503.3,0.03,0.930812,36.39,3850,-0.00709,0.0081,0.001324,2.480431,0.004897,0.058929,0.776736,0.494664,-1.048942,-1.134551,0.432813,0.0,0.332031,2.176015,1.0,0.040378,0.015957,0.006852,0.936813,1.0
200,153600,0.0002816589861751152,507.8,0.02,0.899604,45.16,4632,-0.007693,0.008672,0.00143,2.576319,0.006139,0.075592,0.766595,0.55935,-0.382568,-0.947083,0.567448,0.007812,0.5625,1.900535,1.0,0.032615,0.01179,0.004717,0.950878,1.0
250,192000,0.0002770506912442396,508.0,0.01,0.874783,64.91,5314,-0.006131,0.007062,0.003094,2.691393,0.006406,0.080475,0.810582,0.369465,0.023093,-1.055706,0.764323,0.00651,0.903646,1.418804,1.0,0.028141,0.009892,0.003567,0.9584,1.0
300,230400,0.00027244239631336403,506.7,0.01,0.877288,66.82,5917,-0.007021,0.001287,0.001803,2.748989,0.005326,0.061523,0.964308,0.712367,-0.441198,-0.139465,0.751302,0.0,0.841146,1.465548,0.0,0.025739,0.00924,0.00291,0.962111,1.0
350,268800,0.00026783410138248845,502.1,0.06,0.879196,71.49,6428,-0.006023,0.007365,0.006599,2.747354,0.006686,0.087402,0.784368,0.060635,-0.270076,-0.330488,0.890625,0.0,1.0,1.156542,1.0,0.024139,0.009002,0.002459,0.964399,1.0
400,307200,0.00026322580645161286,507.2,0.0,0.867259,66.9,6987,-0.008459,0.001047,0.005571,2.771203,0.005777,0.070709,0.968921,0.117589,-0.591503,-0.824873,0.875781,0.0,0.960938,1.189443,0.0,0.023683,0.009367,0.002191,0.96476,1.0
450,345600,0.0002586175115207373,508.2,0.04,0.852223,67.02,7586,-0.008424,0.002398,0.005505,2.720223,0.006301,0.079651,0.906839,0.176397,-0.578078,-0.079113,0.876302,0.0,0.983073,1.125507,0.0,0.023465,0.009931,0.001979,0.964625,1.0
500,384000,0.00025400921658986174,509.4,0.04,0.90105,79.44,8116,-0.005031,0.008383,0.005599,2.821418,0.005946,0.074921,0.716435,0.024059,-1.343886,0.053732,0.933333,0.0,1.0,0.94129,1.0,0.024674,0.011757,0.0019,0.96167,1.0
550,422400,0.00024940092165898615,507.7,0.02,0.871669,88.2,8619,-0.00801,0.004346,0.005914,2.812686,0.006608,0.090942,0.884701,0.441967,-0.618919,0.402485,0.915625,0.0,0.998698,0.995105,1.0,0.02729,0.015538,0.001912,0.955261,1.0
600,460800,0.00024479262672811057,506.0,0.07,0.932747,72.19,9161,-0.008425,0.001899,0.003834,2.719274,0.005897,0.072205,0.950601,0.377263,-1.068977,0.173894,0.908203,0.0,0.992188,1.061794,0.0,0.034658,0.026132,0.002196,0.937014,1.0
650,499200,0.000240184331797235,506.5,0.08,0.939941,69.7,9669,-0.007767,0.005097,0.004585,2.752318,0.005859,0.068726,0.908035,0.298582,0.229037,0.374719,0.917188,0.0,0.985677,1.015157,1.0,0.060355,0.085362,0.003363,0.85092,1.0
700,537600,0.00023557603686635942,508.4,0.08,0.944561,36.58,10330,-0.009301,0.018835,0.001748,2.33511,0.006502,0.084412,0.631589,0.656816,-1.422379,-0.02486,0.532031,0.0,0.529948,1.905031,2.0,0.063953,0.823388,0.002831,0.109827,1.0
750,576000,0.00023096774193548386,501.4,0.05,0.907581,26.57,11829,-0.005462,0.003191,8.9e-05,1.625089,0.003855,0.039062,0.922565,0.355128,-0.923823,-0.671288,0.148307,0.0,0.130208,3.187152,0.0,0.044835,0.026298,0.00167,0.927198,1.0
800,614400,0.00022635944700460827,502.2,0.01,0.866252,25.92,13262,-0.008357,0.001379,0.000177,1.739382,0.004721,0.05542,0.960392,0.510111,-1.652042,-1.579104,0.198568,0.0,0.144531,2.878206,0.0,0.024429,0.007683,0.000834,0.967055,1.0
850,652800,0.0002217511520737327,503.7,0.04,0.906275,40.02,14425,-0.004301,0.019077,0.000451,1.881033,0.003604,0.031219,0.618822,0.723107,-0.038933,0.147209,0.289714,0.00651,0.13151,2.482704,3.0,0.02034,0.005398,0.000659,0.973604,1.0
900,691200,0.00021714285714285713,506.3,0.07,0.944992,32.93,15529,-0.005789,0.017443,0.000871,1.916478,0.005377,0.055725,0.551509,0.608008,-0.411955,0.005784,0.415234,0.0,0.167969,2.350469,3.0,0.018856,0.00458,0.000584,0.975979,1.0
950,729600,0.00021253456221198154,506.8,0.07,0.92979,44.72,16524,-0.007892,0.004122,0.002312,2.351688,0.007213,0.093628,0.884192,0.472356,-1.345122,0.208954,0.642187,0.0,0.71224,1.751843,0.0,0.018238,0.004218,0.000542,0.977001,1.0
1000,768000,0.00020792626728110595,507.2,0.13,1.055442,46.24,17315,-0.006762,0.006376,0.002501,2.489573,0.004917,0.052795,0.837539,0.662528,-1.367341,-0.243811,0.708203,0.0,0.791667,1.600233,0.0,0.019117,0.004416,0.000546,0.975921,1.0
1050,806400,0.00020331797235023042,499.8,0.13,1.01298,46.19,18047,-0.006377,0.008663,0.002093,2.47199,0.004531,0.05069,0.816662,0.525872,-1.087006,0.280935,0.791276,0.0,0.971354,1.397691,1.0,0.022332,0.005292,0.000613,0.971763,1.0
