update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,477.8,0.0,0.764962,49.333333,6,-0.006297,0.023814,0.031776,3.306164,0.004953,0.048584,0.431809,-0.499332,-0.186522,0.14292,0.9625,0.011719,1.0,0.917387,0.0,1.0,0.71846,0.68816,0.71846,0.0
50,38400,0.0002954838709677419,530.3,0.01,0.88583,31.31,858,-0.004261,0.003583,0.001088,1.764163,0.003691,0.034821,0.86054,-0.41749,-1.744229,-1.079236,0.162109,0.0,0.13151,3.188129,0.0,1.0,0.62942,0.237287,1.811118,1.0
100,76800,0.00029087557603686633,520.6,0.0,0.857055,24.93,2251,-0.005877,0.001973,0.000616,2.12276,0.004609,0.049316,0.946312,-0.153811,-2.861547,-2.055569,0.212109,0.0,0.161458,2.838405,0.0,1.0,0.202731,0.109301,3.43349,1.0
150,115200,0.00028626728110599074,518.2,0.03,0.875609,37.75,3485,-0.006355,0.009424,0.001366,2.387692,0.005344,0.063354,0.731071,0.246349,-1.695242,-1.632492,0.400911,0.001302,0.204427,2.282255,1.0,1.0,0.119342,0.064549,5.094278,1.0
200,153600,0.0002816589861751152,517.0,0.06,0.944092,41.42,4357,-0.007044,0.00931,0.002328,2.626258,0.005482,0.065186,0.676546,0.618696,-1.949527,-2.086675,0.689062,0.0,0.722656,1.670048,1.0,1.0,0.100772,0.043513,6.606198,1.0
250,192000,0.0002770506912442396,521.2,0.09,0.948061,52.69,5045,-0.006191,0.011816,0.002131,2.507711,0.005254,0.062042,0.633583,0.645344,0.149155,-0.318297,0.633464,0.010417,0.606771,1.831929,2.0,1.0,0.08904,0.031821,8.053749,1.0
300,230400,0.00027244239631336403,524.2,0.09,0.994157,95.69,5599,-0.006876,0.002271,0.003686,2.815529,0.005318,0.060425,0.880558,0.543841,0.499931,0.10502,0.782031,0.0,0.941406,1.40152,0.0,1.0,0.080449,0.02448,9.462581,1.0
350,268800,0.00026783410138248845,522.6,0.22,1.070165,125.4,5978,-0.005587,0.002784,0.002369,2.796327,0.004532,0.048096,0.864137,0.796538,0.405931,0.447325,0.795964,0.0,0.984375,1.364056,0.0,1.0,0.081218,0.019509,10.735072,1.0
400,307200,0.00026322580645161286,520.6,0.29,1.200974,95.24,6359,-0.006794,0.014779,0.004686,2.78583,0.00567,0.070007,0.576997,0.569354,0.578859,0.616629,0.796354,0.03776,0.953125,1.396034,3.0,1.0,0.084078,0.01601,11.603619,1.0
450,345600,0.0002586175115207373,516.6,0.47,1.47993,97.67,6776,-0.006519,0.015343,0.002059,2.684983,0.005844,0.074707,0.682179,0.806072,0.186264,0.614228,0.703516,0.08724,0.898438,1.612713,6.0,1.0,0.08461,0.013465,11.61503,1.0
500,384000,0.00025400921658986174,524.0,0.55,1.570438,105.93,7173,-0.007266,0.016914,0.001931,2.694519,0.005908,0.073547,0.433042,0.839038,0.222533,0.592388,0.782682,0.088542,0.941406,1.438649,7.0,1.0,0.084197,0.011526,11.33383,1.0
550,422400,0.00024940092165898615,524.6,0.37,1.270852,116.35,7526,-0.007786,0.012915,0.004145,2.873371,0.006895,0.094421,0.754226,0.587559,0.581565,0.55987,0.89375,0.010417,0.992188,1.124773,1.0,1.0,0.088122,0.009973,10.804147,1.0
600,460800,0.00024479262672811057,522.9,0.52,1.472214,91.91,7911,-0.006031,0.02037,0.002576,2.804076,0.00475,0.051636,0.415752,0.799937,0.505757,0.633497,0.758203,0.040365,0.920573,1.472047,5.0,1.0,0.094762,0.008727,10.994856,1.0
650,499200,0.000240184331797235,518.5,0.59,1.631825,104.24,8300,-0.006191,0.006992,0.000925,2.767395,0.004648,0.045319,0.723014,0.937049,0.59901,0.796977,0.820182,0.03776,0.99349,1.38389,5.0,1.0,0.096942,0.007723,10.323909,1.0
700,537600,0.00023557603686635942,523.5,0.51,1.497521,105.52,8688,-0.007592,0.003611,0.002353,2.883608,0.00564,0.064819,0.914201,0.757811,0.120123,0.76394,0.852604,0.0,0.998698,1.286307,2.0,1.0,0.102289,0.006883,9.410692,1.0
750,576000,0.00023096774193548386,522.4,0.56,1.579241,85.54,9087,-0.007507,0.013731,0.001923,2.672168,0.004932,0.054535,0.709282,0.892501,0.373763,0.71294,0.765234,0.123698,0.886719,1.500054,5.0,1.0,0.112415,0.006184,9.056135,1.0
800,614400,0.00022635944700460827,522.6,0.54,1.526706,101.95,9505,-0.005765,0.00461,0.002606,2.77744,0.004905,0.050079,0.935468,0.830289,0.591771,0.930807,0.830469,0.080729,0.973958,1.308041,3.0,1.0,0.107544,0.00561,8.232578,1.0
850,652800,0.0002217511520737327,514.6,0.57,1.585589,73.63,9962,-0.007902,0.019414,0.002145,2.753096,0.005218,0.060364,0.304756,0.735753,0.088558,0.589276,0.698047,0.026042,0.802083,1.584375,9.0,1.0,0.095106,0.005116,7.041553,1.0
900,691200,0.00021714285714285713,522.1,0.54,1.527758,97.22,10384,-0.007076,0.015247,0.002194,2.812181,0.005157,0.058502,0.63255,0.800784,0.308633,0.545869,0.764453,0.063802,0.966146,1.454461,3.0,1.0,0.086231,0.004684,5.835041,1.0
950,729600,0.00021253456221198154,521.3,0.54,1.548293,78.25,10802,-0.010044,0.011954,0.002145,2.834765,0.006887,0.096985,0.610305,0.740434,0.557255,0.714102,0.797396,0.046875,0.979167,1.38498,5.0,1.0,0.092058,0.004294,4.89053,1.0
1000,768000,0.00020792626728110595,517.8,0.76,1.886373,97.69,11230,-0.006525,0.012504,0.002009,2.887947,0.006307,0.077515,0.682067,0.846306,0.311188,0.690555,0.770182,0.095052,0.960938,1.447061,8.0,1.0,0.09113,0.003954,3.330109,1.0
1050,806400,0.00020331797235023042,520.0,0.64,1.696444,95.52,11644,-0.005963,0.027214,0.003708,2.742519,0.004769,0.050262,0.505548,0.530848,0.38319,0.663972,0.714323,0.009115,0.876302,1.581563,5.0,1.0,0.097481,0.003647,1.895304,1.0
1100,844800,0.0001987096774193548,518.7,0.52,1.572679,77.47,12108,-0.006737,0.023224,0.001709,2.59954,0.003872,0.036072,0.714106,0.781728,0.538102,0.558227,0.570833,0.033854,0.610677,1.845036,3.0,1.0,0.082444,0.003377,0.989302,0.0
1150,883200,0.00019410138248847925,519.3,0.66,1.739822,77.85,12638,-0.006086,0.028489,0.002015,2.684785,0.00414,0.036407,0.408716,0.696793,0.544164,0.579383,0.601042,0.054688,0.699219,1.799721,5.0,1.0,0.055891,0.003135,0.577048,0.0
1200,921600,0.0001894930875576037,519.6,0.62,1.681745,74.43,13154,-0.008804,0.019378,0.000937,2.674465,0.006059,0.076019,0.69799,0.837967,0.287359,-0.124898,0.486198,0.03776,0.40625,2.059882,5.0,1.0,0.042491,0.002921,0.352762,0.0
1250,960000,0.00018488479262672807,519.9,0.62,1.709451,93.19,13571,-0.005199,0.025951,0.001491,2.795963,0.004228,0.042023,0.406792,0.850442,0.373581,0.616296,0.635417,0.039062,0.786458,1.735463,5.0,1.0,0.034177,0.002727,0.238925,0.0
1300,998400,0.00018027649769585251,520.1,0.41,1.419198,104.19,13986,-0.006879,0.017032,0.003684,2.895988,0.004384,0.047516,0.312983,0.750762,0.496847,0.714714,0.742708,0.067708,0.9375,1.508086,5.0,1.0,0.031098,0.002552,0.179052,0.0
1350,1036800,0.00017566820276497695,521.6,0.61,1.670774,80.79,14418,-0.006461,0.025003,0.001665,2.743355,0.004425,0.043091,0.434125,0.718751,0.271199,0.75143,0.554297,0.041667,0.511719,1.909718,5.0,1.0,0.027552,0.002394,0.137422,0.0
1400,1075200,0.00017105990783410134,522.1,0.66,1.695353,84.26,14850,-0.006304,0.022808,0.002112,2.873695,0.005475,0.069336,0.394687,0.738621,0.412043,0.708172,0.671484,0.058594,0.85026,1.649596,7.0,1.0,0.024404,0.002248,0.109504,0.0
1450,1113600,0.00016645161290322578,522.1,0.66,1.724668,112.56,15237,-0.006505,0.017226,0.001448,2.883815,0.005506,0.060211,0.700629,0.891876,0.361271,0.257726,0.677865,0.065104,0.894531,1.629283,2.0,1.0,0.022394,0.002115,0.091931,0.0
1500,1152000,0.00016184331797235022,520.8,0.51,1.527735,118.53,15566,-0.007013,0.013333,0.002005,2.901523,0.006012,0.07193,0.460336,0.769465,0.22108,0.641961,0.664323,0.011719,0.838542,1.675593,5.0,1.0,0.020612,0.001992,0.079346,0.0
1550,1190400,0.0001572350230414746,521.6,0.67,1.713357,90.61,15962,-0.007242,0.019638,0.001778,2.882687,0.00539,0.06131,0.4315,0.753985,-0.380816,0.745462,0.669661,0.013021,0.873698,1.656178,6.0,1.0,0.018485,0.001882,0.068876,0.0
1600,1228800,0.00015262672811059907,523.1,0.53,1.560829,103.33,16359,-0.007223,0.017617,0.002519,2.800175,0.004251,0.049927,0.580272,0.787629,0.283393,0.791384,0.646875,0.132812,0.757812,1.724064,4.0,1.0,0.017401,0.00178,0.060351,0.0
1650,1267200,0.0001480184331797235,521.5,0.59,1.613297,102.04,16742,-0.005785,0.018345,0.005083,2.935658,0.005246,0.05545,0.356514,0.536897,0.586288,0.562538,0.754687,0.05599,0.946615,1.503386,7.0,1.0,0.016882,0.001687,0.054881,0.0
1700,1305600,0.00014341013824884793,519.6,0.63,1.653078,91.81,17123,-0.006864,0.008238,0.001926,2.83273,0.004229,0.043915,0.700879,0.733153,0.325071,0.838504,0.692448,0.041667,0.873698,1.643406,6.0,1.0,0.017221,0.001599,0.050483,0.0
1750,1344000,0.00013880184331797234,520.6,0.63,1.685726,109.33,17519,-0.006128,0.004495,0.002342,2.841658,0.004186,0.04245,0.720383,0.765687,0.499402,0.841039,0.744531,0.050781,0.941406,1.537534,5.0,1.0,0.016971,0.001518,0.045109,0.0
