update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,477.1,0.0,0.764962,49.333333,6,-0.006256,0.023825,0.03198,3.306203,0.004879,0.049072,0.431809,-0.50733,-0.186522,0.14292,1.0,0.011719,1.0,0.917387,0.0,0.244344,0.256872,0.241913,0.256872,1.0
50,38400,0.0002954838709677419,530.5,0.01,0.823014,40.49,668,-0.006894,0.00753,0.003501,3.076556,0.004591,0.05246,0.761605,0.260277,-1.886011,-1.191565,0.998698,0.0,0.998698,1.174746,1.0,0.116379,0.363694,0.036044,0.483883,1.0
100,76800,0.00029087557603686633,517.9,0.01,0.870435,33.01,1735,-0.008402,0.004449,0.001838,2.876292,0.00673,0.089417,0.905083,0.61211,-1.218092,-1.186291,0.85026,0.0,0.85026,1.520323,0.0,0.058184,0.124344,0.011208,0.806265,1.0
150,115200,0.00028626728110599074,518.8,0.02,0.859711,38.87,2684,-0.007625,0.006436,0.004176,2.826606,0.00631,0.082275,0.82492,0.243368,-1.464939,-1.383108,0.976562,0.0,0.976562,1.308164,1.0,0.030665,0.038674,0.004788,0.925873,1.0
200,153600,0.0002816589861751152,520.6,0.03,0.933532,54.5,3445,-0.005986,0.00596,0.006286,2.674431,0.005251,0.067352,0.860288,0.027603,-0.03105,-0.786309,0.933594,0.0,0.933594,1.461596,1.0,0.020457,0.021547,0.00283,0.955167,1.0
250,192000,0.0002770506912442396,519.2,0.01,0.851215,62.17,4004,-0.008501,0.001078,0.004199,2.796896,0.005585,0.070068,0.96687,0.305079,-0.507262,-0.441228,0.997396,0.0,0.997396,1.169995,0.0,0.014606,0.012825,0.001855,0.970714,1.0
300,230400,0.00027244239631336403,516.3,0.06,0.928378,70.88,4554,-0.007719,0.001762,0.004212,2.701043,0.00532,0.062714,0.932785,0.338353,0.082479,-0.653285,0.953125,0.0,0.953125,1.323781,0.0,0.011161,0.008599,0.001329,0.978911,1.0
350,268800,0.00026783410138248845,520.6,0.02,0.885741,60.29,5151,-0.005315,0.008044,0.006481,2.705843,0.005329,0.063354,0.793579,0.200464,-0.810802,-0.011117,0.997396,0.0,0.997396,1.243262,1.0,0.008975,0.006371,0.001014,0.98364,1.0
400,307200,0.00026322580645161286,518.8,0.03,0.863307,64.64,5797,-0.007666,0.002136,0.003274,2.68553,0.005691,0.069855,0.950088,0.532795,-0.849043,0.065159,0.997396,0.0,0.997396,1.263291,0.0,0.007552,0.005105,0.000817,0.986527,1.0
450,345600,0.0002586175115207373,518.8,0.08,0.909766,76.31,6293,-0.008289,0.0021,0.00573,2.765879,0.005543,0.066559,0.937722,0.42526,0.019165,0.103526,1.0,0.005208,1.0,1.005676,0.0,0.006438,0.004162,0.00067,0.988729,1.0
