update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,481.9,0.0,0.792384,41.6,5,-0.007551,0.023349,0.023988,3.30599,0.00472,0.049744,0.515358,0.044421,0.436302,-0.068828,0.964583,0.0,1.0,0.924188,0.0,0.244344,0.256872,0.241913,0.256872,1.0
50,38400,0.00029774193548387094,506.5,0.07,0.948286,22.73,985,-0.004503,0.014327,0.001022,2.079663,0.004968,0.051453,0.690448,-0.724388,-1.739743,-1.53313,0.182552,0.011719,0.158854,2.850526,3.0,0.137592,0.105646,0.04314,0.713622,1.0
100,76800,0.0002954377880184332,488.0,0.04,0.917464,29.66,2384,-0.006586,0.012284,0.00081,2.461555,0.005675,0.071259,0.681889,0.4483,-0.778017,-2.016879,0.329036,0.011719,0.226562,2.391798,1.0,0.059395,0.018606,0.011112,0.910887,1.0
150,115200,0.00029313364055299536,492.5,0.08,0.949193,35.9,3481,-0.006729,0.016845,0.00119,2.553007,0.004942,0.057892,0.717284,0.544965,-0.502716,-1.213649,0.47513,0.0,0.296875,2.147339,2.0,0.037806,0.009134,0.005638,0.947422,1.0
200,153600,0.00029082949308755754,502.8,0.08,0.970407,63.61,4244,-0.006998,0.004819,0.002281,2.605619,0.005196,0.05835,0.894776,0.663601,-0.779102,-0.675132,0.549219,0.0,0.55599,1.909939,1.0,0.027371,0.00577,0.00352,0.963338,1.0
250,192000,0.00028852534562211977,496.3,0.09,0.956843,73.45,4765,-0.00997,0.002238,0.002203,2.660533,0.007085,0.093048,0.959722,0.629206,-0.155803,-0.352753,0.649609,0.0,0.77474,1.664586,0.0,0.02111,0.004046,0.002433,0.972412,1.0
300,230400,0.000286221198156682,503.3,0.09,0.9278,99.21,5241,-0.006189,0.008968,0.003026,2.737033,0.005765,0.064117,0.48241,0.593885,0.236285,0.410387,0.734766,0.0,0.940104,1.518369,2.0,0.01731,0.003137,0.001833,0.97772,1.0
350,268800,0.00028391705069124424,503.5,0.15,1.02238,97.03,5618,-0.005375,0.003889,0.002846,2.786938,0.004163,0.04364,0.874098,0.585766,0.43087,0.221248,0.798828,0.045573,0.953125,1.449836,0.0,0.01471,0.002575,0.001452,0.981263,1.0
400,307200,0.0002816129032258064,509.2,0.12,1.01704,96.02,5984,-0.008076,0.010212,0.007558,2.758562,0.006387,0.081818,0.725595,0.341919,-0.442309,0.475354,0.83138,0.0,0.973958,1.306288,1.0,0.01267,0.002163,0.001176,0.98399,1.0
450,345600,0.00027930875576036865,501.2,0.26,1.148754,116.44,6370,-0.006914,0.016291,0.003039,2.72397,0.005476,0.067688,0.511384,0.672201,0.338631,0.551131,0.783594,0.0625,0.960938,1.407169,4.0,0.011317,0.001904,0.000998,0.985782,1.0
500,384000,0.0002770046082949309,480.8,0.36,1.307883,103.71,6700,-0.00794,0.008448,0.00397,2.73191,0.006717,0.083801,0.77529,0.70903,0.532857,0.807755,0.810938,0.053385,0.947917,1.357227,3.0,0.010691,0.001791,0.000905,0.986613,1.0
550,422400,0.00027470046082949306,493.6,0.39,1.332827,109.37,7046,-0.007092,0.004663,0.001619,2.76679,0.005722,0.069763,0.89527,0.843204,-0.046719,0.765967,0.795052,0.0,0.934896,1.445951,2.0,0.010462,0.001755,0.000853,0.986929,1.0
600,460800,0.00027239631336405524,491.8,0.51,1.531614,88.34,7431,-0.00641,0.010452,0.001184,2.64179,0.00614,0.076569,0.715768,0.878042,0.359582,0.824339,0.598047,0.029948,0.730469,1.769231,6.0,0.010378,0.001742,0.000817,0.987062,1.0
650,499200,0.0002700921658986175,488.7,0.64,1.726504,96.83,7905,-0.006984,0.015892,0.001523,2.663295,0.00581,0.071411,0.666192,0.812226,0.29115,0.521,0.561198,0.040365,0.602865,1.861652,1.0,0.010659,0.00178,0.000813,0.986748,1.0
700,537600,0.0002677880184331797,480.7,0.57,1.583591,109.29,8342,-0.008167,0.009393,0.001455,2.734945,0.005804,0.066406,0.637571,0.871507,-0.161693,0.677271,0.732552,0.03776,0.882812,1.507353,6.0,0.011155,0.001871,0.000824,0.986151,1.0
750,576000,0.00026548387096774194,477.8,0.65,1.725015,114.31,8702,-0.007626,0.002788,0.001291,2.678171,0.004922,0.05719,0.859974,0.894097,0.395803,0.887667,0.70638,0.072917,0.893229,1.559998,6.0,0.011778,0.002009,0.00084,0.985373,1.0
800,614400,0.0002631797235023041,497.7,0.61,1.61663,99.79,9068,-0.007065,0.003632,0.001096,2.691995,0.004999,0.052826,0.812189,0.91561,0.427858,0.872535,0.695182,0.028646,0.872396,1.626338,5.0,0.012246,0.002123,0.000839,0.984791,1.0
850,652800,0.0002608755760368663,515.1,0.56,1.589014,134.71,9434,-0.006878,0.005514,0.001099,2.891509,0.005676,0.064819,0.853399,0.904394,0.395143,0.682312,0.84362,0.010417,0.99349,1.260584,1.0,0.013279,0.00236,0.000876,0.983484,1.0
900,691200,0.00025857142857142854,515.2,0.51,1.511811,98.74,9778,-0.009359,0.016498,0.003964,2.708423,0.005848,0.075287,0.67911,0.703076,-0.167754,0.788026,0.807813,0.152344,0.979167,1.344844,4.0,0.013494,0.002456,0.00085,0.983201,1.0
950,729600,0.00025626728110599077,518.9,0.46,1.461357,111.08,10128,-0.008535,0.009306,0.002854,2.878962,0.006919,0.090637,0.817954,0.805607,0.435686,0.754263,0.895833,0.03776,0.996094,1.143322,2.0,0.013672,0.002569,0.00082,0.982939,1.0
1000,768000,0.00025396313364055295,511.1,0.39,1.305905,112.2,10477,-0.00731,0.021042,0.0035,2.80586,0.005586,0.073425,0.351475,0.64223,0.184157,0.562691,0.795443,0.102865,0.947917,1.408604,2.0,0.01348,0.002599,0.000768,0.983154,1.0
1050,806400,0.0002516589861751152,515.6,0.45,1.4147,100.91,10820,-0.007968,0.020487,0.003879,2.959282,0.00568,0.066864,0.454221,0.653059,0.153389,0.70421,0.833333,0.00651,0.989583,1.320668,4.0,0.013934,0.002775,0.000758,0.982533,1.0
1100,844800,0.0002493548387096774,515.2,0.57,1.61634,91.03,11212,-0.007383,0.015684,0.002034,2.802903,0.004537,0.044464,0.534724,0.792933,0.656497,0.552711,0.782682,0.078125,0.96224,1.405987,6.0,0.015003,0.003123,0.00078,0.981094,1.0
1150,883200,0.0002470506912442396,511.4,0.48,1.461164,111.56,11584,-0.006724,0.006241,0.001257,2.813272,0.005169,0.06189,0.903411,0.936937,0.521312,0.79844,0.847396,0.072917,0.996094,1.285135,4.0,0.017321,0.003851,0.00086,0.977969,1.0
1200,921600,0.00024474654377880183,517.6,0.59,1.585959,107.51,11932,-0.007533,0.019542,0.004443,2.801047,0.005947,0.065186,0.668762,0.624427,0.281153,0.618026,0.817708,0.023438,0.977865,1.374556,3.0,0.018636,0.0044,0.000872,0.976091,1.0
1250,960000,0.00024244239631336404,514.9,0.53,1.515362,103.75,12287,-0.007144,0.012421,0.003229,2.892768,0.006445,0.076355,0.553119,0.677855,0.109302,0.713588,0.758724,0.022135,0.947917,1.493762,2.0,0.021355,0.005522,0.000941,0.972183,1.0
