update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_success,c_slow,c_team,speed,n_succ,lam0,lam_slow,lam_succ,boot
1,768,0.0003,508.0,0.0,0.705262,44.0,7,-0.006996,0.021463,0.025452,3.307346,0.00479,0.045258,0.565681,0.425045,0.574868,0.964844,1.0,0.911799,0.0,0.322316,0.338842,0.338842,1.0
10,7680,0.00029917050691244233,513.4,0.020833,0.834377,77.34375,96,-0.007776,0.010311,0.004749,3.134038,0.005395,0.061096,0.691333,0.230344,0.050466,0.821224,1.0,1.321576,1.0,0.296828,0.293838,0.409334,1.0
20,15360,0.00029824884792626727,525.3,0.05,0.950113,29.85,305,-0.006416,0.019599,0.001589,2.623468,0.005753,0.059479,0.576559,0.406021,-1.666639,0.429557,0.263021,2.130657,3.0,0.275908,0.200423,0.52367,1.0
30,23040,0.00029732718894009215,521.6,0.0,0.883267,26.54,588,-0.003759,0.005138,0.000946,2.334516,0.004284,0.039154,0.856442,0.403634,-1.558579,0.250521,0.15625,2.777396,0.0,0.239414,0.12207,0.638517,1.0
40,30720,0.00029640552995391703,515.0,0.03,0.904571,24.25,886,-0.004441,0.01257,0.000927,2.456458,0.00456,0.045441,0.654168,0.096356,-1.663685,0.285286,0.199219,2.588887,2.0,0.197073,0.072068,0.730859,1.0
50,38400,0.0002954838709677419,516.7,0.02,0.85746,34.14,1135,-0.006135,0.007442,0.001027,2.614507,0.005103,0.057037,0.761992,0.409791,-1.997075,0.314453,0.165365,2.453975,1.0,0.160255,0.044869,0.794876,1.0
60,46080,0.0002945622119815668,518.4,0.02,0.90311,32.22,1379,-0.007554,0.003801,0.0012,2.705495,0.005237,0.060455,0.876017,0.513198,-1.504421,0.425911,0.292969,2.20552,0.0,0.13164,0.030234,0.838126,1.0
70,53760,0.0002936405529953917,518.4,0.06,0.877386,28.95,1626,-0.007043,0.007586,0.001159,2.783029,0.005361,0.056763,0.821098,0.494812,-2.317547,0.465104,0.386719,2.076487,1.0,0.11037,0.022026,0.867603,1.0
80,61440,0.00029271889400921656,521.0,0.02,0.928323,40.13,1831,-0.007352,0.004491,0.001546,2.80371,0.005255,0.060852,0.860415,0.305368,-1.162102,0.514063,0.446615,1.975108,0.0,0.094579,0.0171,0.888321,1.0
90,69120,0.00029179723502304145,508.8,0.05,0.937842,42.08,2004,-0.006155,0.009856,0.001493,2.720132,0.004884,0.050385,0.731883,0.417574,-1.660246,0.507682,0.450521,1.981364,1.0,0.082235,0.013799,0.903966,1.0
