update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid,h_dir_car,h_dir_off,h_spd_car,h_spd_off,h_ball_car,h_ball_off,c_slow,c_team,speed,n_succ
1,768,0.0003,419.2,0.0,0.74018,49.8,5,-0.00603,0.019814,3.306857,0.004087,0.037109,0.590416,0.076729,0.606331,2.193079,2.191999,1.097809,1.097328,2.291527,0.0,0.961458,1.0,0.940366,0.0
5,3840,0.00029815668202764974,437.0,0.028571,0.770126,95.514286,35,-0.004764,0.012757,3.275459,0.003403,0.032684,0.719213,0.433663,0.546727,2.173259,2.16725,1.092392,1.091227,2.254549,0.0,0.957031,1.0,0.953184,0.0
10,7680,0.0002958525345622119,411.9,0.037975,0.83977,90.037975,79,-0.005936,0.005344,3.245616,0.004143,0.041687,0.763011,0.773474,0.186748,2.147541,2.138787,1.091563,1.091742,2.162915,0.0,0.955078,1.0,0.967864,0.0
15,11520,0.00029354838709677415,404.7,0.06,0.878521,91.2,120,-0.004942,0.007366,3.187869,0.004018,0.040558,0.694119,0.666148,0.293454,2.117034,2.088279,1.087368,1.085771,2.100912,0.0,0.914062,1.0,1.108095,0.0
20,15360,0.0002912442396313364,395.1,0.03,0.875293,91.43,165,-0.005045,0.005935,3.173825,0.003683,0.034485,0.75339,0.763666,0.208324,2.111667,2.071986,1.086764,1.080213,2.060599,0.0,0.897786,1.0,1.110049,0.0
25,19200,0.0002889400921658986,393.9,0.03,0.91861,81.95,216,-0.004543,0.010602,3.182495,0.003561,0.031219,0.64761,0.790588,-0.573733,2.122482,2.093706,1.077172,1.07608,2.054947,0.0,0.90599,1.0,1.090717,1.0
30,23040,0.0002866359447004608,394.8,0.03,0.899664,75.34,268,-0.007418,0.004787,3.150469,0.005217,0.059418,0.884329,0.81525,0.397077,2.083832,2.069016,1.070144,1.069363,1.946865,0.0,0.891406,1.0,1.127244,0.0
35,26880,0.00028433179723502303,390.5,0.0,0.843821,73.84,318,-0.00706,0.004153,3.155229,0.005069,0.060577,0.796166,0.848599,-0.008719,2.089147,2.076751,1.067923,1.064642,1.895541,0.0,0.890365,1.0,1.118346,0.0
40,30720,0.00028202764976958527,388.8,0.0,0.835417,85.33,359,-0.006689,0.002972,3.191262,0.004588,0.053986,0.875324,0.935049,-0.861952,2.115273,2.096248,1.082173,1.078262,1.881575,0.0,0.923828,1.0,1.040144,0.0
45,34560,0.00027972350230414745,389.5,0.01,0.847857,83.44,412,-0.005268,0.002543,3.142424,0.004232,0.042419,0.928723,0.846303,0.548277,2.049239,2.045498,1.079423,1.073121,1.711148,0.0,0.905859,1.0,1.061616,0.0
50,38400,0.0002774193548387096,389.4,0.06,0.866132,72.34,468,-0.006965,0.003752,3.132542,0.004588,0.051849,0.847582,0.877361,-0.214977,2.083079,2.052037,1.068847,1.070044,1.761512,0.0,0.917708,0.998698,1.062309,0.0
55,42240,0.00027511520737327186,389.6,0.05,0.861342,75.91,511,-0.006655,0.002101,3.082769,0.004829,0.05777,0.945683,0.938985,0.113692,2.048479,2.012928,1.046492,1.047525,1.815952,0.0,0.905078,1.0,1.100154,0.0
60,46080,0.0002728110599078341,391.1,0.02,0.888155,76.55,564,-0.00702,0.004427,3.077664,0.005056,0.064911,0.902135,0.930565,-0.402582,2.035487,2.021718,1.035538,1.041561,1.769349,0.0,0.909375,1.0,1.102709,0.0
65,49920,0.0002705069124423963,392.0,0.03,0.906196,79.13,609,-0.007759,0.006888,3.079723,0.00566,0.073883,0.641662,0.6682,0.010681,2.074566,2.047276,1.020713,1.025669,1.77673,0.0,0.93737,1.0,1.019653,1.0
70,53760,0.0002682027649769585,392.8,0.02,0.861464,86.09,656,-0.006186,0.002743,3.066571,0.004067,0.038879,0.885809,0.720827,0.640893,2.07861,2.057183,0.990445,0.999306,1.772136,0.0,0.926432,1.0,1.040697,0.0
75,57600,0.0002658986175115207,392.7,0.03,0.849595,72.45,713,-0.007506,0.003513,3.081818,0.004997,0.05542,0.860469,0.90148,-0.409781,2.092758,2.06721,1.017853,1.012288,1.725268,0.0,0.944922,1.0,0.981216,0.0
80,61440,0.0002635944700460829,393.7,0.03,0.868578,70.67,762,-0.008076,0.002378,3.053003,0.005375,0.067474,0.930955,0.955737,0.032615,2.051314,2.037957,1.008975,1.003339,1.671152,0.0,0.930078,1.0,1.033316,0.0
85,65280,0.00026129032258064515,394.1,0.0,0.851375,72.28,823,-0.006639,0.00174,3.060751,0.004519,0.047974,0.946487,0.906163,0.440076,2.042073,2.035828,1.008119,1.000134,1.498506,0.0,0.925391,1.0,1.020165,0.0
90,69120,0.00025898617511520733,394.4,0.02,0.886723,68.65,876,-0.00592,0.00867,3.072276,0.004655,0.051788,0.676692,0.736381,-0.207363,2.053283,2.044747,1.042362,1.024803,1.336829,0.0,0.940885,1.0,0.974194,1.0
95,72960,0.00025668202764976957,393.4,0.02,0.879475,72.45,929,-0.005873,0.001751,3.014174,0.005053,0.067993,0.951535,0.942667,0.166412,2.05444,2.0295,0.976157,0.976884,1.379598,0.0,0.944661,1.0,0.970117,0.0
100,76800,0.0002543778801843318,391.6,0.03,0.895104,75.45,981,-0.008374,0.003091,2.994457,0.005353,0.06723,0.919502,0.907919,0.143004,2.032657,2.032834,0.948045,0.956667,1.206699,0.0,0.939453,1.0,0.993541,0.0
105,80640,0.000252073732718894,388.9,0.03,0.922671,72.66,1030,-0.006579,0.002104,3.027524,0.004623,0.052124,0.945772,0.968228,-0.706368,2.049995,2.042334,0.973348,0.975784,1.22074,0.0,0.930729,1.0,1.011541,0.0
110,84480,0.0002497695852534562,386.8,0.03,0.88641,57.86,1107,-0.006784,0.010244,3.032465,0.00557,0.072205,0.714785,0.768363,-0.073667,2.035192,2.010326,1.023152,1.00922,1.340149,0.0,0.914714,1.0,1.043638,1.0
115,88320,0.0002474654377880184,386.0,0.02,0.88471,60.0,1175,-0.007751,0.001999,3.020582,0.004936,0.054443,0.921085,0.954546,-0.50143,2.042827,2.033817,0.992496,0.977195,1.196684,0.0,0.910156,1.0,1.081946,0.0
120,92160,0.0002451612903225806,386.2,0.02,0.887489,58.37,1237,-0.008012,0.002364,2.999309,0.005068,0.059265,0.921248,0.913654,0.126634,1.996963,2.020018,0.989125,0.971006,1.197373,0.0,0.902734,1.0,1.110536,0.0
125,96000,0.00024285714285714283,386.7,0.03,0.917069,57.89,1301,-0.005991,0.003028,2.983565,0.004909,0.052002,0.916827,0.943261,-0.464028,1.974243,2.004509,0.982063,0.979245,1.101401,0.0,0.904557,0.988281,1.082669,0.0
130,99840,0.00024055299539170504,387.1,0.04,0.915795,64.21,1351,-0.006045,0.003076,3.024759,0.004444,0.053406,0.881882,0.870742,0.092032,1.992156,2.02134,0.997738,1.000909,1.261145,0.0,0.909375,1.0,1.093387,0.0
135,103680,0.00023824884792626727,387.3,0.03,0.866693,60.3,1419,-0.006578,0.002612,2.93994,0.004316,0.042694,0.923149,0.887236,0.319595,1.93285,1.955829,1.003852,0.977757,1.016378,0.0,0.864714,0.994792,1.182472,0.0
140,107520,0.00023594470046082948,387.3,0.05,0.914281,59.34,1486,-0.006433,0.009942,2.950476,0.006379,0.082733,0.721807,0.639235,0.254959,1.949748,1.981169,0.96345,0.965023,1.182302,0.0,0.872005,0.971354,1.149325,2.0
145,111360,0.00023364055299539169,387.2,0.04,0.898221,60.7,1551,-0.007271,0.002255,2.9792,0.004777,0.054535,0.938088,0.950757,-0.216984,1.964374,1.962357,1.002096,0.994749,1.407598,0.0,0.898698,0.998698,1.090019,0.0
150,115200,0.0002313364055299539,387.1,0.0,0.837953,57.26,1614,-0.00746,0.001255,2.94311,0.005239,0.061005,0.964618,0.968364,-0.05294,1.916555,1.952128,0.982947,0.987617,1.242971,0.0,0.888021,0.986979,1.063871,0.0
155,119040,0.0002290322580645161,387.3,0.0,0.807117,63.55,1674,-0.006149,0.002803,2.901085,0.00454,0.047363,0.924084,0.953264,-0.617228,1.857489,1.90124,0.977452,0.979478,1.197534,0.0,0.83138,0.976562,1.262361,0.0
160,122880,0.00022672811059907833,387.9,0.03,0.860016,61.14,1734,-0.005788,0.008415,2.894081,0.004912,0.060028,0.782053,0.776473,0.030166,1.821124,1.900199,1.014522,0.998747,1.175536,0.0,0.860417,0.983073,1.174052,1.0
165,126720,0.00022442396313364054,388.1,0.08,0.978571,58.41,1803,-0.006146,0.009864,2.889181,0.00557,0.069946,0.708223,0.741428,-0.125549,1.858394,1.893779,1.012684,0.975597,1.382935,0.0,0.821745,0.976562,1.278254,1.0
170,130560,0.00022211981566820275,388.2,0.04,0.939094,62.55,1856,-0.006718,0.002476,2.889846,0.004819,0.055237,0.935603,0.947039,-0.15523,1.845719,1.889601,1.016367,0.99412,1.273699,0.0,0.795313,0.970052,1.348447,0.0
175,134400,0.00021981566820276498,388.4,0.02,0.922242,56.79,1928,-0.00715,0.00206,2.857752,0.005389,0.061859,0.934844,0.929586,0.099589,1.842704,1.83384,1.029202,1.011116,1.373091,0.0,0.785547,0.960938,1.375236,0.0
