update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_success,c_slow,c_team,speed,n_succ
1,768,0.0003,450.3,0.0,0.705262,44.0,7,-0.006704,0.021467,0.02545,3.307514,0.00459,0.04895,0.565681,0.425045,0.574868,0.964844,1.0,0.911799,0.0
5,3840,0.00029815668202764974,520.4,0.045455,0.845418,82.0,44,-0.005241,0.010534,0.00816,3.266891,0.004041,0.044586,0.734644,0.232024,0.511347,0.93737,1.0,1.012036,0.0
10,7680,0.0002958525345622119,548.4,0.043478,0.885014,78.380435,92,-0.004897,0.006149,0.004972,3.206022,0.00277,0.020416,0.804858,0.18069,0.030819,0.891146,1.0,1.148168,0.0
15,11520,0.00029354838709677415,512.5,0.03,0.901642,77.78,141,-0.005326,0.005626,0.004264,3.175748,0.003496,0.029175,0.848652,0.329415,-0.157925,0.879948,1.0,1.188182,0.0
20,15360,0.0002912442396313364,530.7,0.02,0.886676,78.75,189,-0.005132,0.008561,0.005562,3.180469,0.004443,0.050323,0.611496,0.264958,-1.037692,0.905729,1.0,1.078126,1.0
25,19200,0.0002889400921658986,519.0,0.02,0.897145,81.44,239,-0.005229,0.004052,0.003776,3.116352,0.003659,0.029694,0.860075,0.315759,-1.73227,0.833333,0.979167,1.259947,0.0
30,23040,0.0002866359447004608,514.5,0.03,0.903418,69.64,299,-0.004679,0.01,0.003972,3.098801,0.004215,0.044586,0.730498,0.320752,-1.204006,0.798698,0.947917,1.342651,2.0
35,26880,0.00028433179723502303,515.9,0.03,0.891724,62.97,358,-0.007148,0.004888,0.003492,3.137802,0.005018,0.05603,0.835667,0.29672,-1.440062,0.879427,1.0,1.149227,0.0
40,30720,0.00028202764976958527,523.0,0.04,0.880202,55.46,426,-0.005771,0.009055,0.002139,3.100277,0.005143,0.057495,0.616103,0.610851,-0.973596,0.871224,0.990885,1.17704,1.0
45,34560,0.00027972350230414745,522.6,0.04,0.879813,63.22,488,-0.00601,0.00405,0.002416,3.100804,0.004974,0.056915,0.875016,0.580931,-1.178286,0.900521,1.0,1.131881,0.0
50,38400,0.0002774193548387096,511.7,0.02,0.891395,68.12,542,-0.007202,0.003221,0.002625,3.135055,0.005156,0.058044,0.899961,0.460537,-1.594934,0.916146,1.0,1.057395,0.0
55,42240,0.00027511520737327186,515.8,0.04,0.909506,75.68,591,-0.006239,0.008863,0.004192,3.115764,0.004923,0.05542,0.767138,0.254861,-1.588767,0.892578,0.984375,1.125594,1.0
60,46080,0.0002728110599078341,505.7,0.07,0.914951,72.96,646,-0.006373,0.002944,0.003781,3.048438,0.005152,0.060974,0.890158,0.383654,-1.14592,0.882943,0.992188,1.150236,0.0
65,49920,0.0002705069124423963,518.1,0.05,0.892164,76.63,695,-0.006799,0.002516,0.003894,3.06205,0.005207,0.058899,0.92159,0.462593,-1.274364,0.851302,0.985677,1.228973,0.0
70,53760,0.0002682027649769585,515.6,0.03,0.867159,75.14,750,-0.005485,0.008788,0.003349,3.033381,0.004465,0.0466,0.676877,0.470171,-1.485275,0.839453,0.989583,1.25896,1.0
75,57600,0.0002658986175115207,519.3,0.04,0.869915,76.35,795,-0.006309,0.003362,0.00327,3.030653,0.005045,0.053162,0.896834,0.411018,-0.707571,0.8375,0.970052,1.289676,0.0
80,61440,0.0002635944700460829,519.0,0.08,0.931514,88.56,831,-0.004011,0.008352,0.002853,3.03323,0.005009,0.055023,0.724632,0.480161,-1.885267,0.804167,0.97526,1.380775,1.0
