update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,516.9,0.0,0.792384,41.6,5,-0.007551,0.023349,0.023988,3.30599,0.00472,0.049744,0.515358,0.044421,0.436302,-0.068828,0.964583,0.0,1.0,0.924188,0.0,0.248055,0.245586,0.245586,0.260773,1.0
50,38400,0.00029774193548387094,534.6,0.01,0.850962,64.83,483,-0.007556,0.001723,0.002328,2.983667,0.005568,0.068146,0.944843,0.485498,-0.654775,-0.582213,0.720052,0.0,0.914062,1.541939,0.0,0.15764,0.034104,0.039925,0.768331,1.0
100,76800,0.0002954377880184332,518.7,0.03,0.895285,73.64,1022,-0.006309,0.001754,0.003127,2.935139,0.004397,0.045258,0.937648,0.115763,-1.290696,-1.240198,0.873828,0.0,1.0,1.160909,0.0,0.067957,0.007905,0.008873,0.915265,1.0
150,115200,0.00029313364055299536,510.2,0.04,0.924529,65.59,1491,-0.006534,0.001725,0.003447,2.826059,0.005545,0.062927,0.946936,0.124769,-1.553232,-1.285357,0.770052,0.0,0.934896,1.425352,0.0,0.039913,0.003762,0.003993,0.952333,1.0
200,153600,0.00029082949308755754,458.4,0.03,0.861844,79.31,1971,-0.009222,0.002817,0.003155,2.789613,0.005938,0.078339,0.890256,0.399778,0.440593,-0.886766,0.77474,0.0,0.966146,1.38088,0.0,0.027099,0.002225,0.002322,0.968354,1.0
250,192000,0.00028852534562211977,461.3,0.02,0.87097,87.35,2412,-0.008996,0.002726,0.003566,2.729774,0.005399,0.068359,0.920049,0.494438,-0.458291,0.130993,0.836458,0.0,0.976562,1.222543,0.0,0.019887,0.001483,0.001528,0.977102,1.0
300,230400,0.000286221198156682,505.0,0.08,0.888619,60.31,2993,-0.006702,0.009169,0.002561,2.5218,0.005259,0.059357,0.808808,0.569241,-1.128139,0.112871,0.703125,0.0,0.779948,1.647107,1.0,0.015629,0.001085,0.001111,0.982176,1.0
350,268800,0.00028391705069124424,505.2,0.01,0.858824,62.26,3574,-0.005641,0.0066,0.003946,2.660064,0.004964,0.058258,0.823741,0.504093,-1.04256,0.061008,0.773568,0.0,0.96224,1.40795,1.0,0.012697,0.000825,0.000848,0.98563,1.0
400,307200,0.0002816129032258064,502.8,0.02,0.925072,68.36,4171,-0.0078,0.001239,0.003437,2.685959,0.004927,0.056915,0.970304,0.37907,-0.311194,0.109484,0.820703,0.0,0.988281,1.259755,0.0,0.010495,0.000647,0.000664,0.988194,1.0
450,345600,0.00027930875576036865,493.2,0.07,0.950526,62.6,4773,-0.00672,0.012508,0.004276,2.643709,0.005572,0.069794,0.631442,-0.000944,-0.048603,0.413819,0.851302,0.029948,0.989583,1.197578,2.0,0.008818,0.000522,0.000532,0.990129,1.0
