update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid,h_dir_car,h_dir_off,h_spd_car,h_spd_off,h_ball_car,h_ball_off
1,768,0.0003,113.6,0.428571,1.099017,33.857143,7,-0.006324,0.029983,3.306607,0.004688,0.046112,0.17458,0.013573,0.503858,2.190737,2.189607,1.097945,1.097653,2.291987,0.0
10,7680,0.0002997926267281106,132.9,0.226804,0.979773,75.701031,97,-0.004461,0.017118,3.25726,0.003334,0.034912,0.738739,0.01321,0.796461,2.163081,2.155246,1.083104,1.08205,2.194485,0.0
20,15360,0.0002995622119815668,135.2,0.21,1.034086,82.33,185,-0.006364,0.014562,3.186653,0.005325,0.061798,0.605648,0.20051,0.560248,2.108485,2.113555,1.062078,1.068273,2.104437,0.0
30,23040,0.000299331797235023,135.5,0.24,1.03878,70.74,292,-0.005477,0.015219,3.184441,0.004243,0.046509,0.620864,0.344975,0.488844,2.10611,2.104896,1.069112,1.069501,1.99105,0.0
40,30720,0.0002991013824884792,136.1,0.17,0.943786,77.1,394,-0.007404,0.008229,3.16233,0.004834,0.057953,0.817895,0.379972,0.711406,2.093716,2.096469,1.043199,1.047011,1.721572,0.0
50,38400,0.00029887096774193543,133.9,0.25,1.032759,85.98,477,-0.005019,0.009275,3.136806,0.004147,0.038696,0.442517,0.490402,0.11135,2.069376,2.059428,1.059812,1.067663,1.382829,0.0
60,46080,0.0002986405529953917,133.7,0.27,1.063241,71.86,587,-0.006404,0.018809,3.110241,0.005371,0.062866,0.505216,0.287414,0.344476,2.088685,2.044449,1.058061,1.050831,1.335099,0.0
70,53760,0.0002984101382488479,134.2,0.27,1.029938,64.31,701,-0.008331,0.011187,3.098877,0.005713,0.067535,0.742545,0.050181,0.796519,2.079223,2.036958,1.035185,1.044802,1.143334,0.0
80,61440,0.00029817972350230416,134.6,0.29,1.114208,82.15,795,-0.006103,0.014014,3.050664,0.005039,0.056183,0.678169,0.345657,0.53797,2.01687,1.995751,1.0179,1.048954,0.757166,0.0
90,69120,0.00029794930875576037,134.5,0.44,1.352011,80.37,888,-0.007353,0.022587,2.963365,0.006027,0.076019,0.550198,0.032872,0.651007,1.915723,1.925071,0.962482,1.033631,0.700718,0.0
100,76800,0.0002977188940092166,134.5,0.43,1.334661,81.43,984,-0.00754,0.016859,2.978743,0.006748,0.089752,0.424996,0.106408,0.448912,1.937236,1.946508,1.030503,1.041936,0.383067,0.0
110,84480,0.0002974884792626728,134.4,0.5,1.414212,79.31,1081,-0.007792,0.01278,2.989725,0.005788,0.071838,0.356279,0.022641,0.622018,1.937179,1.922225,1.070531,1.062926,0.289259,0.0
120,92160,0.000297258064516129,134.4,0.64,1.593133,67.29,1195,-0.005911,0.025773,2.964949,0.005665,0.066681,0.581908,0.088102,0.584639,1.922815,1.933508,1.057964,1.041756,0.243251,0.0
130,99840,0.0002970276497695852,134.4,0.52,1.451091,66.68,1312,-0.00639,0.023824,2.990692,0.005603,0.068695,0.494751,0.15351,0.481349,1.923787,1.937394,1.071306,1.045578,0.144506,0.0
140,107520,0.00029679723502304146,134.5,0.62,1.548104,72.47,1416,-0.006167,0.017652,2.991877,0.005196,0.05542,0.366607,0.060538,0.508073,1.953574,1.948764,1.053926,1.035866,0.097166,0.0
150,115200,0.00029656682027649767,134.6,0.54,1.418267,78.32,1512,-0.00584,0.008839,2.970933,0.004737,0.053314,0.49241,0.077965,0.627475,1.897613,1.930189,1.061588,1.034705,0.151924,0.0
160,122880,0.0002963364055299539,134.4,0.53,1.463591,70.67,1623,-0.006643,0.010709,2.927998,0.005838,0.06723,0.744708,0.244474,0.703865,1.882924,1.912753,1.058873,1.021991,0.102144,0.0
170,130560,0.00029610599078341013,135.1,0.65,1.589197,73.36,1728,-0.007598,0.008454,2.953194,0.005512,0.064301,0.492755,0.0265,0.666569,1.882116,1.904701,1.073982,1.03578,0.060153,0.0
180,138240,0.00029587557603686634,135.5,0.65,1.624743,76.14,1826,-0.007619,0.013941,2.891933,0.00665,0.088226,0.484876,0.191113,0.499714,1.827193,1.874361,1.049543,1.020312,0.078146,0.0
190,145920,0.00029564516129032255,135.7,0.74,1.747192,71.95,1933,-0.006488,0.011015,2.848344,0.006005,0.074982,0.75391,0.061735,0.776537,1.69822,1.824045,1.062891,1.028708,0.045145,0.0
200,153600,0.00029541474654377876,136.1,0.74,1.697476,73.37,2037,-0.005765,0.011814,2.925266,0.005304,0.062561,0.49381,0.537815,0.007173,1.810172,1.903698,1.041334,1.003858,0.04083,0.0
210,161280,0.00029518433179723496,135.9,0.77,1.757568,82.68,2130,-0.008042,0.020434,2.912367,0.006446,0.08374,0.534235,0.288158,0.404255,1.894411,1.932566,1.000899,0.989956,0.101735,0.0
220,168960,0.0002949539170506912,136.4,0.75,1.71001,78.62,2224,-0.006577,0.005052,2.87327,0.006128,0.074707,0.714377,0.606319,0.375993,1.859262,1.88182,0.995055,0.971125,0.331224,0.0
230,176640,0.00029472350230414743,136.6,0.78,1.751613,78.29,2321,-0.007511,0.011128,2.878617,0.00649,0.084076,0.319683,0.327939,0.078239,1.867166,1.878993,1.013112,0.984978,0.341975,0.0
240,184320,0.0002944930875576037,137.2,0.67,1.627047,93.65,2400,-0.008404,0.018276,2.899003,0.006107,0.08139,0.658276,0.284507,0.529564,1.898078,1.882203,1.052727,1.015338,0.523773,0.0
250,192000,0.0002942626728110599,137.6,0.56,1.45305,81.3,2496,-0.007782,0.011985,2.983734,0.00579,0.076569,0.840683,0.11352,0.824159,1.967193,1.946351,1.039849,1.026086,0.451952,0.0
260,199680,0.0002940322580645161,138.0,0.56,1.493879,92.65,2581,-0.007698,0.02402,2.912162,0.006407,0.086182,0.683218,0.040876,0.695124,1.90635,1.897282,1.018373,1.009965,0.545003,0.0
270,207360,0.0002938018433179723,138.1,0.72,1.686918,74.38,2678,-0.007693,0.009979,2.904312,0.005642,0.065338,0.814589,0.357779,0.712741,1.851624,1.888816,1.004267,1.006486,0.41025,0.0
280,215040,0.0002935714285714285,138.3,0.7,1.640546,78.8,2778,-0.007023,0.011113,2.936507,0.00478,0.050476,0.672464,0.108883,0.671192,1.831527,1.900592,1.036691,1.026654,0.585372,0.0
290,222720,0.00029334101382488473,138.6,0.67,1.564038,79.71,2876,-0.008568,0.009187,2.921062,0.005806,0.072754,0.755265,0.212616,0.709326,1.841791,1.880731,1.034681,1.030361,0.650581,0.0
300,230400,0.000293110599078341,138.9,0.61,1.558641,86.5,2966,-0.007874,0.012887,2.949082,0.006433,0.087982,0.720068,0.082181,0.728862,1.936033,1.921232,1.022893,1.033086,0.778263,0.0
310,238080,0.0002928801843317972,139.1,0.73,1.698572,80.68,3058,-0.006691,0.011842,2.909593,0.005093,0.064667,0.503252,0.42745,0.210987,1.861783,1.875466,1.004728,1.012878,0.725797,0.0
320,245760,0.00029264976958525346,139.3,0.75,1.701527,73.54,3163,-0.007296,0.005986,2.964822,0.005548,0.067444,0.666491,0.072408,0.767463,1.940222,1.931405,0.987499,1.016537,0.862078,0.0
330,253440,0.00029241935483870966,139.5,0.74,1.706195,78.69,3255,-0.00772,0.008885,2.938735,0.005798,0.072937,0.76533,0.368185,0.635895,1.875656,1.92354,1.016927,1.013654,0.611262,0.0
340,261120,0.00029218894009216587,139.7,0.74,1.721388,71.05,3363,-0.008116,0.034663,2.906783,0.005987,0.076477,0.56189,0.33765,0.344756,1.898005,1.898522,1.006037,0.988993,0.697109,0.0
350,268800,0.0002919585253456221,139.9,0.73,1.702768,78.86,3461,-0.007219,0.029007,2.852355,0.005206,0.057556,0.486895,0.230949,0.341287,1.853878,1.8527,1.005894,1.000036,0.785447,0.0
360,276480,0.0002917281105990783,140.1,0.81,1.812411,74.21,3563,-0.00755,0.003792,2.9076,0.005742,0.066406,0.801376,0.523952,0.651694,1.839327,1.86623,1.027119,1.026552,0.792952,0.0
370,284160,0.00029149769585253455,140.3,0.72,1.695729,77.99,3661,-0.009133,0.010067,2.893101,0.007435,0.103058,0.612865,0.488027,0.336978,1.894556,1.866633,1.056525,1.025342,0.760907,0.0
380,291840,0.00029126728110599075,140.2,0.8,1.779053,86.65,3748,-0.007592,0.01139,2.903698,0.005648,0.064758,0.41821,0.38127,0.210105,1.810508,1.851183,1.066765,1.049268,0.802266,0.0
390,299520,0.00029103686635944696,140.2,0.69,1.671773,81.85,3842,-0.007236,0.018055,2.914131,0.005332,0.068115,0.51519,0.278792,0.393104,1.822043,1.873107,1.05753,1.036775,0.872578,0.0
400,307200,0.0002908064516129032,140.4,0.67,1.640805,79.58,3938,-0.007931,0.03726,2.865257,0.006565,0.090271,0.38633,0.393114,-0.006273,1.794873,1.841156,1.040155,1.023151,0.93182,0.0
410,314880,0.00029057603686635943,140.5,0.72,1.716366,77.34,4038,-0.006518,0.031712,2.735793,0.005814,0.074829,0.460953,0.312474,0.23792,1.689093,1.764725,0.968525,0.976172,0.85404,0.0
420,322560,0.00029034562211981564,140.5,0.72,1.707095,76.25,4138,-0.008143,0.012732,2.753978,0.005787,0.069611,0.318879,0.101783,0.469516,1.792884,1.798631,0.983935,0.949079,0.853048,0.0
430,330240,0.00029011520737327184,140.6,0.61,1.555507,64.53,4255,-0.006768,0.018524,2.767422,0.006038,0.078552,0.332001,0.100246,0.344526,1.788042,1.782779,0.97305,0.965375,0.868414,0.0
440,337920,0.0002898847926267281,140.6,0.79,1.806893,83.26,4347,-0.007212,0.004802,2.806373,0.005748,0.066162,0.627144,0.515156,0.475196,1.777649,1.816591,0.980047,0.970527,0.821369,0.0
450,345600,0.0002896543778801843,140.7,0.75,1.741419,73.05,4453,-0.008894,0.024382,2.859106,0.006469,0.088715,0.377328,0.277643,0.198155,1.941233,1.876934,1.009148,0.958585,0.774164,0.0
460,353280,0.0002894239631336405,140.9,0.77,1.743616,70.91,4560,-0.006897,0.018207,2.86713,0.005657,0.072021,0.348221,0.281337,0.14158,1.936583,1.889987,1.013811,0.963466,0.756084,0.0
470,360960,0.0002891935483870967,141.0,0.73,1.670544,79.02,4657,-0.009059,0.013008,2.872412,0.006989,0.095123,0.571388,0.108091,0.643286,1.880519,1.897849,0.987512,0.96453,0.743225,0.0
480,368640,0.000288963133640553,141.1,0.75,1.749236,69.89,4763,-0.007374,0.003771,2.811936,0.005922,0.072693,0.781244,0.678039,0.446695,1.829172,1.844862,0.997113,0.949659,0.746638,0.0
490,376320,0.0002887327188940092,141.2,0.71,1.669297,67.5,4879,-0.007791,0.029191,2.789183,0.005974,0.072174,0.072266,0.043444,0.30663,1.802973,1.805595,0.97436,0.975259,0.538256,0.0
500,384000,0.0002885023041474654,141.2,0.67,1.611821,70.04,4990,-0.007216,0.019922,2.775282,0.005514,0.070374,0.379261,0.157521,0.370888,1.776312,1.80123,0.976767,0.973845,0.669677,0.0
510,391680,0.0002882718894009216,141.3,0.71,1.651388,81.51,5083,-0.007009,0.019082,2.877941,0.005692,0.07254,0.650458,0.179654,0.618838,1.89178,1.870277,1.021883,1.006153,0.71876,0.0
520,399360,0.00028804147465437787,141.5,0.64,1.574667,90.46,5165,-0.007154,0.014954,2.920131,0.006123,0.075104,0.696743,0.291759,0.57831,1.946887,1.896533,1.026478,1.019456,0.742992,0.0
530,407040,0.0002878110599078341,141.5,0.6,1.533186,88.69,5253,-0.007296,0.026622,2.94088,0.005596,0.063354,0.597103,0.311438,0.415428,1.97324,1.913219,1.021188,1.021652,0.728532,0.0
