update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid,h_dir_car,h_dir_off,h_spd_car,h_spd_off,h_ball_car,h_ball_off
1,768,0.0003,473.2,0.428571,1.099017,33.857143,7,-0.006324,0.029983,3.306607,0.004688,0.046112,0.17458,0.013573,0.503858,2.190737,2.189607,1.097945,1.097653,2.291988,0.0
10,7680,0.0002997926267281106,509.7,0.226804,0.979773,75.701031,97,-0.004461,0.017118,3.25726,0.003334,0.034912,0.738739,0.01321,0.796461,2.163081,2.155246,1.083104,1.08205,2.194485,0.0
20,15360,0.0002995622119815668,477.9,0.21,1.034086,82.33,185,-0.006364,0.014562,3.186654,0.005325,0.061798,0.605648,0.20051,0.560248,2.108485,2.113555,1.062078,1.068273,2.104437,0.0
30,23040,0.000299331797235023,475.9,0.24,1.043944,73.5,288,-0.004971,0.013452,3.191599,0.004015,0.038605,0.668332,0.080718,0.73814,2.111833,2.10542,1.060821,1.07332,2.00061,0.0
40,30720,0.0002991013824884792,479.6,0.17,0.934814,86.4,377,-0.006747,0.014456,3.125107,0.004832,0.056427,0.671643,0.405495,0.454356,2.118513,2.095834,0.977912,1.0111,1.900972,0.0
50,38400,0.00029887096774193543,474.9,0.28,1.060124,75.57,478,-0.00755,0.014361,3.045438,0.005545,0.065063,0.641533,0.331709,0.473383,2.049064,2.027843,1.009879,1.006136,1.589023,0.0
60,46080,0.0002986405529953917,471.8,0.47,1.320851,63.58,593,-0.006025,0.016274,2.960092,0.005223,0.05838,0.605043,0.259063,0.51826,1.90898,1.938944,1.019808,1.021127,1.198584,0.0
70,53760,0.0002984101382488479,466.1,0.64,1.586314,72.79,697,-0.004635,0.013838,2.961636,0.003872,0.035065,0.567307,0.248233,0.483506,1.920148,1.938021,1.025188,1.024225,1.073982,0.0
80,61440,0.00029817972350230416,465.9,0.61,1.521334,68.08,809,-0.007552,0.019469,2.965197,0.006662,0.086609,0.351273,0.328769,0.182455,1.902981,1.923833,1.006025,1.02306,1.127481,0.0
90,69120,0.00029794930875576037,465.7,0.57,1.534092,78.82,908,-0.006998,0.017186,2.932873,0.005894,0.072052,0.296455,0.253867,0.224659,1.926039,1.911107,0.981622,1.016229,1.154373,0.0
100,76800,0.0002977188940092166,467.1,0.5,1.408337,94.43,986,-0.006756,0.015254,2.990126,0.004741,0.053223,0.551821,0.139948,0.541564,1.984258,1.933711,1.027053,1.034769,1.009156,0.0
110,84480,0.0002974884792626728,465.1,0.51,1.404742,89.75,1076,-0.006147,0.026136,2.879235,0.004954,0.058533,0.417168,0.336974,0.174604,1.927636,1.862779,1.023573,1.016352,1.083773,0.0
120,92160,0.000297258064516129,463.4,0.6,1.521516,73.72,1181,-0.008393,0.012664,2.84174,0.005821,0.07489,0.635478,0.039913,0.712944,1.896351,1.82279,1.034818,1.006007,0.681916,0.0
130,99840,0.0002970276497695852,455.9,0.67,1.631562,75.45,1279,-0.005416,0.015031,2.842183,0.005199,0.061218,0.640422,0.48528,0.303195,1.88997,1.843603,0.961443,0.980675,0.937252,0.0
140,107520,0.00029679723502304146,457.9,0.56,1.472605,79.59,1377,-0.00656,0.029459,2.901613,0.005862,0.073212,0.141499,0.31252,-0.188415,1.965529,1.904531,0.985155,0.98729,0.908718,0.0
