update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid
1,768,0.0003,144.6,0.428571,1.099017,33.857143,7,-0.006324,0.029983,3.306607,0.004688,0.046112,0.17458,0.013573,0.503858
10,7680,0.0002995852534562212,136.1,0.1875,0.934061,77.5,96,-0.004332,0.019629,3.261846,0.003346,0.030579,0.618478,0.086074,0.643048
20,15360,0.00029912442396313365,133.5,0.15,0.962247,85.36,178,-0.005321,0.009879,3.20417,0.00393,0.042389,0.711145,0.738473,0.045384
30,23040,0.00029866359447004606,136.2,0.17,0.95633,107.87,251,-0.00513,0.005065,3.153365,0.004466,0.044159,0.836347,0.648024,0.557702
40,30720,0.0002982027649769585,136.7,0.19,0.916565,92.76,335,-0.006652,0.010972,3.04976,0.005565,0.065887,0.652442,0.42346,0.455013
50,38400,0.00029774193548387094,137.3,0.15,0.860207,107.6,406,-0.006441,0.0084,3.086649,0.005433,0.063599,0.755251,0.290921,0.725006
60,46080,0.0002972811059907834,137.6,0.19,0.913981,108.39,482,-0.006687,0.010736,3.0821,0.004655,0.052856,0.677154,0.371186,0.543204
70,53760,0.0002968202764976958,137.3,0.37,1.191634,95.8,562,-0.007445,0.01793,3.006291,0.005505,0.063232,0.678479,0.295499,0.562195
80,61440,0.00029635944700460824,137.2,0.37,1.195757,77.9,661,-0.007634,0.011808,2.969827,0.005814,0.068665,0.732247,0.356748,0.600533
90,69120,0.0002958986175115207,137.5,0.36,1.175871,91.99,741,-0.007811,0.01321,2.988667,0.005191,0.062622,0.762597,0.180731,0.726105
100,76800,0.0002954377880184332,137.5,0.39,1.234069,99.17,820,-0.006215,0.015094,2.968097,0.006064,0.072662,0.71867,0.377365,0.551404
110,84480,0.0002949769585253456,137.3,0.34,1.22012,83.86,912,-0.005963,0.018403,2.896579,0.005214,0.054413,0.659631,0.437103,0.39803
120,92160,0.000294516129032258,136.9,0.52,1.425358,78.17,1011,-0.007655,0.015087,2.95886,0.006291,0.081482,0.528188,0.260692,0.410414
130,99840,0.0002940552995391705,136.8,0.55,1.484842,69.12,1118,-0.00541,0.020952,2.889964,0.004617,0.051697,0.477628,0.476336,0.091662
140,107520,0.00029359447004608294,136.5,0.54,1.451926,64.42,1236,-0.008057,0.027954,2.939653,0.005608,0.068146,0.563879,0.229108,0.43601
150,115200,0.00029313364055299536,136.2,0.66,1.627031,73.52,1343,-0.007072,0.015922,2.934477,0.006198,0.078491,0.590025,0.270658,0.475133
160,122880,0.00029267281105990777,136.0,0.63,1.548774,73.4,1449,-0.007659,0.02136,2.935,0.005325,0.06662,0.519018,0.191605,0.442937
170,130560,0.00029221198156682024,136.0,0.66,1.569954,76.38,1548,-0.007442,0.007767,2.928393,0.005716,0.067566,0.845426,0.051302,0.867983
180,138240,0.0002917511520737327,135.1,0.56,1.477195,72.45,1654,-0.00771,0.027968,2.879986,0.005556,0.068787,0.229201,0.311109,-0.097048
190,145920,0.0002912903225806451,134.5,0.7,1.664028,75.48,1753,-0.007795,0.015528,2.916875,0.005022,0.057617,0.475421,0.198451,0.434067
200,153600,0.00029082949308755754,134.4,0.64,1.583812,89.0,1835,-0.007852,0.011179,2.995607,0.006167,0.075409,0.770391,0.254448,0.695241
210,161280,0.00029036866359447,134.5,0.5,1.390435,106.31,1909,-0.008081,0.020112,2.907824,0.005486,0.060883,0.687323,0.188306,0.636862
220,168960,0.0002899078341013825,134.7,0.5,1.390056,92.72,1990,-0.006634,0.007532,2.892804,0.005115,0.057068,0.785014,0.07223,0.807039
230,176640,0.0002894470046082949,134.7,0.62,1.552629,88.74,2080,-0.00658,0.015111,2.891169,0.005946,0.075287,0.637862,0.084707,0.658198
240,184320,0.00028898617511520736,134.6,0.69,1.623307,75.73,2181,-0.006497,0.013472,2.935885,0.005289,0.071472,0.424021,0.239646,0.343206
250,192000,0.00028852534562211977,134.5,0.75,1.724169,86.16,2271,-0.006253,0.015816,2.927288,0.00548,0.068817,0.569784,0.159736,0.542898
260,199680,0.00028806451612903224,134.6,0.64,1.534649,88.12,2354,-0.008397,0.014257,2.885462,0.006854,0.097595,0.357639,0.088657,0.552885
270,207360,0.00028760368663594465,134.5,0.71,1.71233,82.74,2449,-0.008993,0.029467,2.87221,0.005766,0.070007,0.324454,0.197814,0.24268
280,215040,0.0002871428571428571,134.5,0.65,1.60557,77.4,2543,-0.007222,0.014166,2.853906,0.005586,0.063629,0.528957,0.267826,0.47226
290,222720,0.0002866820276497696,134.5,0.67,1.584886,67.37,2657,-0.008809,0.012176,2.876228,0.00568,0.078278,0.533401,0.092373,0.634107
300,230400,0.000286221198156682,134.5,0.66,1.592383,84.78,2748,-0.007928,0.012678,2.877541,0.006443,0.088989,0.454543,0.33653,0.361869
310,238080,0.0002857603686635944,134.5,0.69,1.671726,86.87,2840,-0.007486,0.017597,2.797742,0.005202,0.065765,0.390373,0.154086,0.3978
320,245760,0.0002852995391705069,134.5,0.81,1.792457,64.98,2960,-0.008276,0.016919,2.821492,0.006715,0.087555,0.518225,0.233375,0.477901
330,253440,0.00028483870967741936,134.5,0.67,1.585034,78.1,3056,-0.006571,0.017182,2.852689,0.005799,0.072815,0.540457,0.287617,0.368291
