update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,484.9,0.0,0.764962,49.333333,6,-0.006187,0.023825,0.031798,3.306294,0.004782,0.047455,0.431809,-0.499332,-0.186522,0.14292,0.9625,0.011719,1.0,0.917387,0.0,0.244344,0.256872,0.241913,0.256872,1.0
50,38400,0.0002954838709677419,514.5,0.0,0.870892,29.72,885,-0.004107,0.002586,0.001439,2.322366,0.003986,0.038757,0.943426,-0.116277,-1.71558,-1.310958,0.245443,0.0,0.158854,2.68047,0.0,0.137031,0.070182,0.043219,0.749568,1.0
100,76800,0.00029087557603686633,503.8,0.01,0.868246,33.26,2066,-0.006814,0.003515,0.001306,2.495451,0.004516,0.046539,0.902989,0.480003,-1.248879,-1.488848,0.497266,0.0,0.394531,2.046143,0.0,0.057136,0.013101,0.009464,0.920299,1.0
150,115200,0.00028626728110599074,501.3,0.03,0.891085,42.08,3065,-0.007262,0.008384,0.001376,2.613878,0.005619,0.066071,0.799989,0.715284,-1.260113,-0.957787,0.609375,0.0,0.617188,1.842407,1.0,0.035188,0.006547,0.004376,0.953889,1.0
200,153600,0.0002816589861751152,500.6,0.07,0.972573,53.9,3942,-0.006414,0.010541,0.001192,2.672636,0.005149,0.05722,0.742922,0.777074,0.064029,-0.333399,0.699219,0.011719,0.778646,1.632639,1.0,0.025014,0.004172,0.002628,0.968186,1.0
250,192000,0.0002770506912442396,503.6,0.07,0.929888,68.82,4558,-0.007744,0.010715,0.002855,2.733238,0.005932,0.077362,0.684068,0.483897,-0.057713,0.027334,0.788802,0.0,0.94401,1.399175,1.0,0.019285,0.003017,0.001803,0.975896,1.0
300,230400,0.00027244239631336403,506.0,0.06,0.958298,46.96,5227,-0.00596,0.011697,0.002132,2.690375,0.006132,0.08075,0.727476,0.571599,-0.153056,0.162591,0.782422,0.010417,0.936198,1.406116,2.0,0.015574,0.002327,0.001333,0.980766,1.0
350,268800,0.00026783410138248845,506.2,0.05,0.898517,58.91,5841,-0.007362,0.003853,0.002645,2.710558,0.005408,0.065338,0.822758,0.352553,-0.166086,0.421517,0.799479,0.0,0.928385,1.326555,0.0,0.012902,0.001857,0.001026,0.984216,1.0
400,307200,0.00026322580645161286,507.3,0.04,0.879507,72.44,6394,-0.009563,0.002103,0.003034,2.804041,0.006092,0.075867,0.93696,0.450314,0.379156,-0.359743,0.865625,0.0,0.998698,1.212288,0.0,0.010935,0.001529,0.000818,0.986717,1.0
450,345600,0.0002586175115207373,505.8,0.04,0.891273,88.04,6870,-0.008058,0.001883,0.002454,2.80969,0.005653,0.07132,0.971492,0.439362,0.003355,0.216126,0.88138,0.016927,0.984375,1.186885,0.0,0.009396,0.001289,0.000666,0.988648,1.0
500,384000,0.00025400921658986174,501.8,0.11,1.031417,54.41,7497,-0.007093,0.016455,0.001989,2.646746,0.006106,0.077545,0.688591,0.592887,-1.155165,0.103044,0.871615,0.0,0.964844,1.155734,2.0,0.008341,0.001129,0.000567,0.989963,1.0
550,422400,0.00024940092165898615,503.7,0.15,1.054295,51.6,8197,-0.007285,0.014889,0.002591,2.670759,0.005621,0.066528,0.669278,0.574579,-0.050989,-0.005807,0.892839,0.0,0.99349,1.111948,2.0,0.007471,0.000999,0.000489,0.99104,1.0
600,460800,0.00024479262672811057,505.0,0.06,0.871274,80.74,8719,-0.006495,0.00759,0.00475,2.705878,0.006186,0.083313,0.785144,0.372798,0.168496,0.203366,0.920313,0.0,1.0,1.051513,1.0,0.006713,0.000889,0.000425,0.991973,1.0
650,499200,0.000240184331797235,507.3,0.14,1.066796,71.6,9169,-0.007012,0.011845,0.00368,2.727319,0.005339,0.068604,0.682809,0.499683,0.37339,0.549494,0.942578,0.027344,0.998698,0.985242,2.0,0.00608,0.000799,0.000373,0.992749,1.0
700,537600,0.00023557603686635942,505.4,0.15,1.048405,79.16,9606,-0.008481,0.011148,0.002592,2.654338,0.006407,0.084381,0.696318,0.696354,0.164848,0.329552,0.945833,0.010417,1.0,0.986214,2.0,0.005563,0.000727,0.000331,0.993378,1.0
750,576000,0.00023096774193548386,504.8,0.17,1.015132,106.53,9996,-0.007911,0.006349,0.002507,2.663164,0.004912,0.055481,0.842218,0.790968,0.279745,0.62151,0.95638,0.022135,0.997396,0.965783,1.0,0.005214,0.00068,0.000304,0.993802,1.0
