update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,493.0,0.0,0.792384,41.6,5,-0.007551,0.023349,0.023988,3.30599,0.00472,0.049744,0.515358,0.044421,0.436302,-0.068828,0.964583,0.0,1.0,0.924188,0.0,0.244344,0.256872,0.241913,0.256872,1.0
50,38400,0.00029774193548387094,522.4,0.0,0.86283,26.57,759,-0.0065,0.00235,0.001407,2.353117,0.005459,0.063507,0.918278,0.079294,-1.02568,-1.334688,0.301432,0.0,0.199219,2.593457,0.0,0.135764,0.078818,0.041729,0.743688,1.0
100,76800,0.0002954377880184332,507.4,0.01,0.856048,35.03,1903,-0.006483,0.007333,0.001355,2.584622,0.005183,0.059021,0.77561,0.520994,-1.401642,-1.363276,0.465365,0.0,0.367188,2.06796,1.0,0.055086,0.013217,0.009312,0.922385,1.0
150,115200,0.00029313364055299536,509.0,0.01,0.811773,46.36,2851,-0.006724,0.006468,0.002634,2.721561,0.005843,0.068604,0.756453,0.430028,-1.97969,-1.746644,0.71237,0.0,0.856771,1.570175,1.0,0.033725,0.006335,0.004406,0.955534,1.0
200,153600,0.00029082949308755754,506.6,0.04,0.87308,58.07,3583,-0.007722,0.00483,0.003124,2.709353,0.0071,0.092773,0.848435,0.357943,-1.026097,-0.926706,0.710938,0.0,0.822917,1.549518,1.0,0.02427,0.004102,0.002717,0.968911,1.0
250,192000,0.00028852534562211977,505.0,0.02,0.886801,53.44,4245,-0.007507,0.001623,0.002157,2.589804,0.005573,0.07373,0.947211,0.439839,-0.691675,-0.494401,0.611068,0.0,0.588542,1.845361,0.0,0.018471,0.002885,0.001846,0.976798,1.0
300,230400,0.000286221198156682,508.2,0.09,0.976886,59.57,4913,-0.006704,0.009512,0.00235,2.573336,0.006058,0.075836,0.715832,0.614135,0.266364,0.322847,0.680599,0.061198,0.77474,1.630611,1.0,0.014648,0.002135,0.001343,0.981874,1.0
350,268800,0.00028391705069124424,511.4,0.03,0.900151,59.48,5523,-0.005378,0.010132,0.003753,2.639862,0.006107,0.079376,0.707799,0.242808,-0.230344,0.018121,0.765365,0.0,0.9375,1.438511,1.0,0.012102,0.001683,0.001036,0.985179,1.0
400,307200,0.0002816129032258064,507.7,0.12,0.975005,75.98,6060,-0.007283,0.004468,0.002263,2.840864,0.005528,0.069366,0.818825,0.677259,0.176985,0.751269,0.783464,0.0,0.963542,1.362934,1.0,0.010366,0.001398,0.000842,0.987395,1.0
450,345600,0.00027930875576036865,502.4,0.19,1.130845,80.49,6573,-0.008917,0.003396,0.00477,2.705228,0.005919,0.074188,0.851242,0.335467,-0.155454,0.343152,0.739323,0.0,0.933594,1.468765,0.0,0.009432,0.001252,0.000741,0.988575,1.0
500,384000,0.0002770046082949309,483.3,0.12,1.021746,76.87,7036,-0.00758,0.005387,0.002658,2.787751,0.005439,0.063812,0.821266,0.657049,0.544258,0.790527,0.847917,0.053385,0.963542,1.239099,3.0,0.008716,0.001147,0.000664,0.989473,1.0
550,422400,0.00027470046082949306,497.4,0.48,1.486717,102.18,7443,-0.006654,0.025368,0.003068,2.741063,0.005354,0.062836,0.371214,0.763479,0.160533,0.651005,0.711068,0.040365,0.882812,1.596308,6.0,0.008204,0.001071,0.000611,0.990115,1.0
600,460800,0.00027239631336405524,505.5,0.38,1.281385,119.24,7812,-0.00684,0.008167,0.002194,2.815615,0.00494,0.061127,0.788836,0.865102,0.437117,0.735644,0.883203,0.121094,1.0,1.25119,3.0,0.008209,0.001077,0.000608,0.990106,1.0
650,499200,0.0002700921658986175,507.0,0.3,1.240511,81.38,8204,-0.008486,0.00783,0.003658,2.701666,0.005648,0.069519,0.795701,0.453789,0.342216,0.754701,0.813021,0.032552,0.979167,1.406173,4.0,0.007972,0.001044,0.000584,0.9904,1.0
700,537600,0.0002677880184331797,504.5,0.33,1.296233,112.15,8586,-0.006055,0.023409,0.00234,2.735477,0.004656,0.050537,0.594818,0.846217,0.189024,0.22549,0.744531,0.0,0.86849,1.497509,5.0,0.007667,0.000997,0.000552,0.990783,1.0
750,576000,0.00026548387096774194,510.0,0.21,1.103915,91.86,8968,-0.008616,0.007809,0.002543,2.677096,0.005084,0.060059,0.810645,0.750207,0.151287,0.782118,0.801042,0.014323,0.96875,1.408319,3.0,0.007161,0.000922,0.000503,0.991413,1.0
800,614400,0.0002631797235023041,509.4,0.54,1.564997,101.83,9359,-0.007997,0.019176,0.003052,2.699179,0.007535,0.104156,0.597254,0.796569,0.462959,0.625696,0.717839,0.044271,0.867188,1.586489,3.0,0.006787,0.000866,0.000469,0.991879,1.0
850,652800,0.0002608755760368663,506.5,0.55,1.560819,94.53,9770,-0.007977,0.019378,0.002209,2.498774,0.005209,0.061493,0.466768,0.834658,0.259004,0.734022,0.683333,0.130208,0.817708,1.693242,4.0,0.007052,0.000904,0.00049,0.991554,1.0
900,691200,0.00025857142857142854,507.1,0.36,1.327612,111.66,10151,-0.009763,0.006247,0.001777,2.721209,0.007178,0.099457,0.857241,0.826066,0.33117,0.647651,0.829036,0.002604,0.990885,1.302606,1.0,0.007222,0.000931,0.000502,0.991345,1.0
950,729600,0.00025626728110599077,510.1,0.55,1.568269,100.3,10543,-0.007408,0.024981,0.003909,2.626211,0.00548,0.065979,0.51608,0.671042,0.272217,0.420851,0.795964,0.119792,0.950521,1.385012,1.0,0.007408,0.000962,0.000516,0.991114,1.0
1000,768000,0.00025396313364055295,509.7,0.3,1.26597,103.4,10913,-0.00836,0.010689,0.00372,2.634603,0.00614,0.078522,0.806751,0.59226,-0.465043,0.448623,0.767969,0.002604,0.858073,1.476293,1.0,0.00764,0.001005,0.000533,0.990822,1.0
1050,806400,0.0002516589861751152,508.4,0.41,1.395205,95.61,11295,-0.008106,0.015429,0.004124,2.749458,0.005321,0.063934,0.65276,0.565518,0.421968,0.73039,0.810677,0.108073,0.959635,1.386132,7.0,0.007497,0.000989,0.000517,0.990997,1.0
1100,844800,0.0002493548387096774,507.9,0.51,1.479146,89.94,11720,-0.007821,0.028758,0.002124,2.724357,0.00546,0.062561,0.313891,0.847624,0.720667,0.62143,0.748307,0.016927,0.940104,1.494527,2.0,0.00777,0.001039,0.000536,0.990656,1.0
1150,883200,0.0002470506912442396,507.1,0.36,1.269262,82.3,12133,-0.007755,0.017952,0.00224,2.73646,0.005655,0.066315,0.467055,0.777159,0.584391,0.501589,0.721615,0.044271,0.907552,1.543701,4.0,0.007772,0.001041,0.000532,0.990656,1.0
1200,921600,0.00024474654377880183,512.5,0.39,1.381736,87.58,12581,-0.008586,0.013358,0.002549,2.826347,0.005584,0.066315,0.802467,0.779941,0.119456,0.440594,0.767057,0.075521,0.94401,1.419343,4.0,0.007733,0.001032,0.000523,0.990712,1.0
1250,960000,0.00024244239631336404,506.1,0.37,1.31598,91.97,13047,-0.008284,0.031607,0.003952,2.612197,0.005755,0.071991,0.60041,0.669413,0.339394,-0.089967,0.69362,0.061198,0.802083,1.627678,1.0,0.007394,0.000974,0.000491,0.99114,1.0
1300,998400,0.00024013824884792622,507.4,0.5,1.514259,76.49,13533,-0.00788,0.01292,0.00222,2.615743,0.005663,0.069489,0.439951,0.834357,0.536732,0.673334,0.699349,0.018229,0.859375,1.69793,4.0,0.007459,0.000978,0.000493,0.99107,1.0
1350,1036800,0.00023783410138248845,506.8,0.54,1.5574,78.08,13975,-0.008887,0.02412,0.00161,2.632887,0.005843,0.068573,0.620373,0.808569,0.628533,0.324293,0.639714,0.028646,0.714844,1.772212,4.0,0.008116,0.001075,0.000544,0.990265,1.0
1400,1075200,0.00023552995391705066,507.2,0.43,1.439452,81.13,14460,-0.009362,0.014008,0.004266,2.766628,0.005428,0.06076,0.708364,0.570256,0.417606,0.634501,0.801562,0.048177,0.949219,1.391922,3.0,0.009146,0.001235,0.000626,0.988994,1.0
1450,1113600,0.00023322580645161286,507.1,0.43,1.403675,91.24,14900,-0.010545,0.013247,0.003466,2.709009,0.005985,0.075592,0.737655,0.550322,0.40687,0.629475,0.858333,0.095052,0.998698,1.177658,3.0,0.009885,0.001362,0.00068,0.988074,1.0
1500,1152000,0.0002309216589861751,506.6,0.55,1.571386,75.95,15360,-0.009013,0.012521,0.001957,2.708629,0.005076,0.060181,0.543033,0.729385,0.317596,0.620835,0.713021,0.009115,0.882812,1.592767,3.0,0.011043,0.001555,0.00077,0.986631,1.0
1550,1190400,0.0002286175115207373,506.5,0.47,1.446043,76.33,15876,-0.00924,0.021307,0.002905,2.73237,0.005935,0.074951,0.800014,0.633409,0.451836,0.625086,0.732292,0.065104,0.894531,1.49081,8.0,0.012761,0.001823,0.000904,0.984512,1.0
1600,1228800,0.00022631336405529954,507.0,0.36,1.305605,74.96,16379,-0.009056,0.011607,0.002819,2.722733,0.005561,0.063293,0.819491,0.657479,0.356025,0.636204,0.757161,0.0,0.915365,1.422954,3.0,0.014335,0.002104,0.001015,0.982546,1.0
1650,1267200,0.00022400921658986172,504.3,0.48,1.493177,65.31,16880,-0.008577,0.018279,0.001576,2.740964,0.004412,0.050568,0.572976,0.804098,-0.471986,0.501416,0.702604,0.0,0.813802,1.593188,7.0,0.015244,0.002251,0.001064,0.981441,1.0
1700,1305600,0.00022170506912442395,509.9,0.46,1.457425,73.44,17356,-0.009199,0.024794,0.002634,2.782402,0.005126,0.057281,0.568709,0.581342,0.090095,0.105185,0.771094,0.001302,0.946615,1.439869,4.0,0.017729,0.002746,0.001228,0.978298,1.0
1750,1344000,0.00021940092165898616,506.3,0.55,1.548225,59.86,17914,-0.009757,0.013278,0.002237,2.753085,0.005729,0.073883,0.594416,0.671843,0.172655,0.435598,0.763021,0.013021,0.96875,1.458851,11.0,0.022102,0.003643,0.001544,0.972711,1.0
1800,1382400,0.00021709677419354836,501.8,0.39,1.348158,53.27,18539,-0.009721,0.024021,0.003543,2.746873,0.005669,0.064392,0.599812,0.417954,-0.026799,0.510749,0.770703,0.002604,0.93099,1.442193,7.0,0.026703,0.00472,0.001821,0.966757,1.0
1850,1420800,0.0002147926267281106,504.2,0.44,1.428429,62.31,19125,-0.009038,0.022392,0.002484,2.790119,0.004768,0.053864,0.595569,0.498999,-0.199017,0.521164,0.751823,0.0,0.915365,1.464398,5.0,0.03079,0.005586,0.002012,0.961612,1.0
1900,1459200,0.0002124884792626728,504.5,0.49,1.506506,58.96,19693,-0.008606,0.027935,0.003092,2.829947,0.005636,0.064758,0.556441,0.384579,-0.451618,0.521919,0.741146,0.003906,0.921875,1.495465,7.0,0.056739,0.012299,0.003859,0.927103,1.0
1950,1497600,0.00021018433179723498,507.9,0.41,1.437205,72.8,20280,-0.008776,0.020676,0.002804,2.803341,0.004906,0.052917,0.637455,0.647905,0.087981,0.448706,0.734375,0.0,0.919271,1.555885,2.0,0.083448,0.018557,0.005331,0.892663,1.0
2000,1536000,0.00020788018433179722,507.0,0.5,1.518267,70.76,20808,-0.008412,0.02655,0.003261,2.750121,0.004773,0.048889,0.620187,0.650835,-0.165275,0.63906,0.660807,0.00651,0.766927,1.718981,5.0,0.18593,0.048914,0.011178,0.753978,1.0
2050,1574400,0.00020557603686635942,503.2,0.49,1.548289,73.26,21362,-0.010112,0.01042,0.001818,2.650423,0.005858,0.069092,0.506289,0.743994,0.642501,0.69256,0.616276,0.023438,0.658854,1.817006,8.0,0.679955,0.099569,0.036502,0.183973,0.0
2100,1612800,0.00020327188940092163,505.1,0.64,1.688638,67.14,21942,-0.00976,0.01057,0.001462,2.74027,0.005991,0.075897,0.545658,0.830991,0.249061,0.820572,0.650391,0.033854,0.78776,1.729341,5.0,0.914932,0.016835,0.022405,0.045828,0.0
2150,1651200,0.00020096774193548386,507.1,0.54,1.568217,95.51,22350,-0.010017,0.020616,0.002615,2.899946,0.005782,0.07309,0.648769,0.757718,0.111892,0.619579,0.80625,0.00651,0.964844,1.351563,6.0,0.953703,0.01353,0.012686,0.020082,0.0
2200,1689600,0.00019866359447004607,508.7,0.61,1.65147,88.03,22809,-0.007946,0.012996,0.002027,2.89194,0.00494,0.056549,0.712153,0.726416,0.396027,0.613777,0.779557,0.009115,0.957031,1.410473,8.0,0.959754,0.017778,0.007424,0.015043,0.0
2250,1728000,0.00019635944700460825,500.1,0.53,1.527214,83.5,23265,-0.009537,0.016781,0.002034,2.846693,0.005269,0.06604,0.726308,0.809147,0.020806,0.371251,0.74974,0.007812,0.96224,1.459634,6.0,0.961828,0.020981,0.005199,0.011993,0.0
2300,1766400,0.00019405529953917048,505.6,0.58,1.624677,77.85,23761,-0.009852,0.017567,0.002947,2.919727,0.005267,0.06131,0.765113,0.68744,0.609689,0.462307,0.755599,0.14974,0.915365,1.45731,6.0,0.968267,0.017928,0.004182,0.009623,0.0
2350,1804800,0.0001917511520737327,510.2,0.36,1.28727,81.88,24221,-0.007483,0.022355,0.003876,2.886631,0.004046,0.041779,0.762281,0.551498,0.067748,0.462748,0.757031,0.035156,0.933594,1.413247,3.0,0.971096,0.017273,0.003508,0.008124,0.0
2400,1843200,0.0001894470046082949,505.3,0.65,1.663692,78.64,24827,-0.008701,0.011791,0.002659,2.8821,0.004979,0.05127,0.707404,0.683482,0.045544,0.64138,0.806771,0.050781,0.977865,1.289788,7.0,0.970932,0.018352,0.002971,0.007745,0.0
2450,1881600,0.00018714285714285713,505.8,0.59,1.604364,73.22,25322,-0.008699,0.046592,0.004959,2.871305,0.004807,0.05191,0.362437,0.522707,0.359346,0.389323,0.777604,0.049479,0.96875,1.384915,6.0,0.965053,0.026002,0.002621,0.006324,0.0
2500,1920000,0.00018483870967741936,506.9,0.6,1.629552,78.04,25867,-0.007045,0.030572,0.003563,2.833796,0.00411,0.036591,0.66137,0.537652,0.295296,0.549554,0.728516,0.0,0.932292,1.523247,5.0,0.956428,0.035844,0.002315,0.005413,0.0
2550,1958400,0.00018253456221198152,508.0,0.52,1.515873,71.11,26398,-0.009979,0.022163,0.002863,2.842312,0.005438,0.06311,0.679142,0.685946,0.265715,0.270917,0.765625,0.096354,0.934896,1.464797,5.0,0.930109,0.06322,0.002038,0.004634,0.0
2600,1996800,0.00018023041474654375,506.1,0.63,1.65622,58.75,26978,-0.007382,0.025735,0.001801,2.769855,0.004167,0.044861,0.484775,0.590379,0.324952,0.503187,0.691146,0.011719,0.86849,1.605563,8.0,0.955432,0.038385,0.001948,0.004235,0.0
2650,2035200,0.00017792626728110598,504.1,0.69,1.775254,85.53,27512,-0.008119,0.044166,0.002347,2.800692,0.005617,0.05957,0.389405,0.619662,-0.325959,0.403007,0.729688,0.0,0.901042,1.55218,3.0,0.974861,0.019516,0.001805,0.003819,0.0
2700,2073600,0.0001756221198156682,508.1,0.64,1.688518,82.71,27950,-0.008409,0.025139,0.00294,2.905156,0.005101,0.058807,0.673784,0.701139,-0.039095,0.573086,0.829297,0.0,0.960938,1.331181,7.0,0.97212,0.022856,0.001639,0.003385,0.0
2750,2112000,0.0001733179723502304,505.7,0.48,1.456855,90.31,28418,-0.008687,0.022694,0.002734,2.940554,0.004802,0.053772,0.694746,0.638701,0.013223,0.466635,0.841146,0.029948,0.997396,1.273049,4.0,0.951483,0.044059,0.001433,0.003025,0.0
2800,2150400,0.00017101382488479263,508.6,0.51,1.52628,76.5,28877,-0.00736,0.016802,0.002126,2.894079,0.004257,0.043091,0.336746,0.71005,0.01518,0.39127,0.828125,0.0,0.989583,1.298882,9.0,0.770418,0.22627,0.001054,0.002258,0.0
2850,2188800,0.00016870967741935484,503.4,0.5,1.518718,49.09,29663,-0.008926,0.032242,0.002375,2.539534,0.004785,0.053864,0.462668,0.642074,0.289948,0.42247,0.532552,0.273438,0.505208,1.938456,7.0,0.979342,0.01657,0.001285,0.002803,0.0
2900,2227200,0.00016640552995391702,501.9,0.64,1.722006,70.85,30276,-0.007266,0.007686,0.001843,2.76569,0.00404,0.038483,0.828991,0.617349,0.255679,0.608427,0.697656,0.061198,0.894531,1.58615,7.0,0.987342,0.00876,0.001236,0.002661,0.0
2950,2265600,0.00016410138248847925,505.0,0.52,1.560597,78.03,30740,-0.008761,0.012467,0.003175,2.8384,0.004876,0.054596,0.711415,0.608871,0.157406,0.737334,0.811458,0.083333,0.953125,1.320837,8.0,0.987649,0.008759,0.001171,0.00242,0.0
3000,2304000,0.00016179723502304146,501.3,0.54,1.563653,81.31,31207,-0.007189,0.030021,0.002964,2.868331,0.004823,0.050598,0.583809,0.649291,0.284413,0.485928,0.839453,0.11849,0.99349,1.264406,3.0,0.987244,0.009404,0.001092,0.00226,0.0
3050,2342400,0.00015949308755760366,506.9,0.53,1.569708,78.26,31658,-0.009066,0.02481,0.002637,2.912908,0.005124,0.055969,0.671366,0.654222,0.487064,0.481394,0.802344,0.03125,0.983073,1.388006,6.0,0.986052,0.010789,0.001035,0.002125,0.0
3100,2380800,0.0001571889400921659,492.8,0.54,1.520309,93.93,32072,-0.008694,0.013787,0.003405,2.897232,0.005014,0.055145,0.519063,0.54977,0.155095,0.47245,0.873568,0.0,0.998698,1.183411,6.0,0.983465,0.013522,0.000962,0.002051,0.0
3150,2419200,0.0001548847926267281,492.9,0.45,1.383845,93.18,32457,-0.00781,0.019706,0.003918,2.842399,0.003815,0.034882,0.686765,0.621298,-0.215338,0.664313,0.840495,0.0,0.994792,1.287462,3.0,0.977886,0.019279,0.000881,0.001954,0.0
3200,2457600,0.00015258064516129028,501.0,0.53,1.587724,86.72,32906,-0.007655,0.027842,0.003631,2.843308,0.004056,0.04068,0.356666,0.538227,-0.444136,0.346218,0.772266,0.0,0.980469,1.416882,4.0,0.971764,0.025605,0.000817,0.001814,0.0
3250,2496000,0.00015027649769585252,496.0,0.57,1.604655,62.51,33439,-0.009298,0.028517,0.003712,2.891425,0.004107,0.041565,0.561754,0.558814,0.254416,0.584795,0.822526,0.019531,0.994792,1.286429,7.0,0.960595,0.03696,0.000761,0.001684,0.0
3300,2534400,0.00014797235023041472,492.7,0.51,1.508247,81.81,33985,-0.008487,0.011679,0.002728,2.908509,0.005366,0.063721,0.765597,0.67799,0.350043,0.618789,0.804297,0.08724,0.996094,1.346309,5.0,0.955281,0.042408,0.000727,0.001584,0.0
