update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_success,c_slow,c_team,speed,n_succ,lam0,lam_slow,lam_succ,boot
1,768,0.0003,449.7,0.0,0.826668,47.0,7,-0.009417,0.031657,0.0318,3.307342,0.005967,0.071289,-0.242758,-0.322101,0.258913,0.967448,1.0,0.901064,0.0,0.328804,0.325533,0.345663,1.0
50,38400,0.0002954838709677419,429.3,0.03,0.902733,50.98,626,-0.007962,0.008908,0.003404,3.054719,0.005525,0.066681,0.676042,-0.030735,-1.926898,0.833203,0.99349,1.289054,1.0,0.175477,0.042501,0.782022,1.0
100,76800,0.00029087557603686633,430.9,0.06,0.94563,57.2,1370,-0.008069,0.014147,0.004024,2.967971,0.005535,0.064026,0.675398,0.218997,-0.99265,0.858333,0.997396,1.231108,2.0,0.075364,0.009047,0.91559,1.0
150,115200,0.00028626728110599074,419.8,0.02,0.872115,52.25,2047,-0.008878,0.003845,0.00367,2.853509,0.006394,0.086853,0.893017,0.200751,-1.82471,0.814844,0.941406,1.313009,0.0,0.043894,0.004106,0.952,1.0
200,153600,0.0002816589861751152,415.9,0.06,0.893897,59.45,2755,-0.007884,0.004244,0.00402,2.718403,0.005891,0.073395,0.893853,0.181569,-0.417808,0.731771,0.854167,1.524853,0.0,0.029536,0.002363,0.968101,1.0
250,192000,0.0002770506912442396,418.2,0.13,1.040698,60.17,3378,-0.008393,0.003002,0.002284,2.706294,0.006007,0.068878,0.931942,0.472767,-0.009347,0.739844,0.915365,1.493256,0.0,0.021742,0.001521,0.976737,1.0
300,230400,0.00027244239631336403,410.5,0.1,0.973964,64.62,4009,-0.007005,0.012908,0.003552,2.69475,0.005445,0.068024,0.707533,0.374543,-0.351943,0.73151,0.910156,1.515164,2.0,0.017135,0.001088,0.981778,1.0
350,268800,0.00026783410138248845,413.1,0.09,0.968752,62.67,4603,-0.006795,0.01762,0.002133,2.635827,0.005779,0.07193,0.569041,0.586973,0.165927,0.680469,0.783854,1.600201,3.0,0.013925,0.000824,0.985251,1.0
400,307200,0.00026322580645161286,413.1,0.16,1.064172,49.64,5289,-0.007678,0.009288,0.001888,2.606892,0.006075,0.079071,0.715175,0.647156,0.058552,0.684635,0.753906,1.611622,1.0,0.011848,0.00066,0.987493,1.0
450,345600,0.0002586175115207373,498.6,0.11,1.007821,55.01,5957,-0.007622,0.004969,0.002266,2.54504,0.005068,0.055847,0.876921,0.626922,0.448875,0.797266,0.976562,1.373266,0.0,0.010175,0.000538,0.989287,1.0
500,384000,0.00025400921658986174,530.3,0.12,0.98217,78.46,6522,-0.006205,0.002321,0.002795,2.700866,0.005157,0.053192,0.936028,0.687153,0.05619,0.854167,0.99349,1.213604,0.0,0.00894,0.000458,0.990602,1.0
550,422400,0.00024940092165898615,530.5,0.23,1.143778,66.81,7082,-0.006977,0.016401,0.003818,2.698376,0.004986,0.057831,0.774435,0.512588,0.391002,0.90026,1.0,1.096172,4.0,0.007955,0.000398,0.991647,1.0
600,460800,0.00024479262672811057,523.5,0.27,1.118088,79.84,7622,-0.006155,0.015236,0.004338,2.609082,0.004721,0.052765,0.665278,0.467645,0.406703,0.801172,0.981771,1.407666,2.0,0.007408,0.000366,0.992227,1.0
650,499200,0.000240184331797235,526.8,0.28,1.22669,71.02,8140,-0.007074,0.013294,0.002903,2.652291,0.006104,0.076538,0.721163,0.6052,0.489996,0.80013,0.963542,1.410262,1.0,0.006941,0.000337,0.992722,1.0
700,537600,0.00023557603686635942,528.2,0.32,1.293969,71.21,8636,-0.007123,0.019672,0.002061,2.752131,0.005568,0.066132,0.597526,0.718784,0.025295,0.892969,1.0,1.164638,2.0,0.006543,0.000314,0.993144,1.0
750,576000,0.00023096774193548386,527.1,0.25,1.195022,65.49,9176,-0.005768,0.020541,0.003633,2.731239,0.005136,0.055725,0.675927,0.560484,0.302681,0.871745,1.0,1.221362,4.0,0.006296,0.0003,0.993404,1.0
800,614400,0.00022635944700460827,525.3,0.32,1.27601,69.54,9740,-0.005516,0.018436,0.002983,2.685741,0.00497,0.053406,0.727251,0.536536,0.314759,0.864323,0.996094,1.280061,3.0,0.00615,0.000292,0.993557,1.0
850,652800,0.0002217511520737327,527.6,0.38,1.344547,66.82,10212,-0.006872,0.021739,0.00228,2.815025,0.00498,0.05658,0.644711,0.644857,0.229295,0.884115,1.0,1.129273,4.0,0.006107,0.000291,0.993603,1.0
900,691200,0.00021714285714285713,522.9,0.51,1.506189,76.46,10685,-0.007884,0.024361,0.00327,2.727831,0.005153,0.05957,0.51989,0.488487,-0.07717,0.820703,0.983073,1.32709,5.0,0.00618,0.000295,0.993524,1.0
