update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid,h_dir_car,h_dir_off,h_spd_car,h_spd_off,h_ball_car,h_ball_off
1,768,0.0003,440.3,0.25,1.041861,44.0,4,-0.006516,0.02215,3.308085,0.004491,0.045197,0.292434,0.003705,0.54661,2.192138,2.190986,1.097854,1.097783,2.291371,0.0
10,7680,0.0002997926267281106,483.0,0.02381,0.843089,84.321429,84,-0.006519,0.005073,3.223161,0.005179,0.059296,0.815358,0.753344,0.361074,2.137262,2.132176,1.081959,1.080742,2.172882,0.0
20,15360,0.0002995622119815668,488.3,0.03,0.917246,93.48,166,-0.005694,0.009462,3.143442,0.004478,0.052368,0.674528,0.582586,0.264054,2.042708,2.04888,1.072381,1.070443,1.946815,0.0
30,23040,0.000299331797235023,498.2,0.01,0.860036,102.68,240,-0.006873,0.00467,3.058631,0.004644,0.048737,0.888783,0.889474,0.085874,1.952986,1.982713,1.07105,1.062922,1.994348,0.0
40,30720,0.0002991013824884792,488.1,0.0,0.782428,105.77,316,-0.006917,0.002574,3.070251,0.004835,0.056976,0.897482,0.872217,0.338474,2.000341,2.013422,1.037847,1.040703,1.804848,0.0
50,38400,0.00029887096774193543,494.1,0.0,0.809278,97.19,392,-0.007083,0.001455,3.053116,0.005991,0.074219,0.962323,0.948571,0.367508,1.975511,1.98817,1.066099,1.057726,1.539822,0.0
60,46080,0.0002986405529953917,497.7,0.02,0.850251,74.96,498,-0.006779,0.002843,2.986482,0.005195,0.058319,0.921575,0.941531,-0.33786,1.934561,1.935442,1.043029,1.043368,1.603135,0.0
70,53760,0.0002984101382488479,499.5,0.02,0.867448,47.57,641,-0.006859,0.003733,2.873363,0.004918,0.055725,0.789762,0.8375,-0.171106,1.889065,1.840159,1.033362,1.027211,1.520725,0.0
80,61440,0.00029817972350230416,501.0,0.06,0.944551,47.54,808,-0.007147,0.004077,2.881899,0.005633,0.064087,0.873296,0.856782,0.213113,1.84495,1.850959,1.019164,1.028031,1.201287,0.0
90,69120,0.00029794930875576037,502.0,0.03,0.915189,42.4,975,-0.005331,0.006103,2.918341,0.005147,0.049805,0.753047,0.70499,0.201234,1.946206,1.905982,1.038765,1.002254,1.120755,0.0
100,76800,0.0002977188940092166,503.0,0.03,0.907074,44.64,1158,-0.006884,0.00281,2.967865,0.005379,0.054047,0.893472,0.954595,-1.006629,1.969521,1.965001,1.005371,0.993141,1.339138,0.0
110,84480,0.0002974884792626728,502.3,0.04,0.927951,46.36,1322,-0.006922,0.002045,2.958068,0.005631,0.06369,0.930687,0.925286,0.13536,1.933365,1.961461,1.002723,0.982192,1.250759,0.0
120,92160,0.000297258064516129,503.7,0.05,0.923319,55.73,1453,-0.006501,0.007805,2.892925,0.005487,0.063568,0.753229,0.657096,0.336964,1.922493,1.875703,1.025423,1.002069,1.23869,0.0
130,99840,0.0002970276497695852,504.0,0.03,0.880674,54.46,1592,-0.005363,0.009834,2.871253,0.004371,0.046509,0.627076,0.747769,-0.406868,1.900042,1.834459,1.024554,1.02158,1.111929,0.0
140,107520,0.00029679723502304146,504.8,0.04,0.897536,43.91,1756,-0.005529,0.008506,2.777221,0.005126,0.060394,0.752715,0.773972,-0.037932,1.825332,1.78468,1.009116,0.970948,0.848639,0.0
150,115200,0.00029656682027649767,505.2,0.06,0.956563,49.01,1914,-0.005628,0.014055,2.827282,0.005995,0.074463,0.584804,0.469427,0.344279,1.839828,1.801868,1.055289,1.01345,1.065736,0.0
160,122880,0.0002963364055299539,505.5,0.09,0.986704,50.91,2073,-0.006784,0.012154,2.819852,0.005024,0.054993,0.783693,0.704871,0.275474,1.812493,1.82954,1.002888,0.989637,1.137246,0.0
170,130560,0.00029610599078341013,506.0,0.07,0.929067,50.6,2237,-0.006421,0.012705,2.807314,0.005224,0.060883,0.784934,0.706743,0.267531,1.848938,1.874346,0.909737,0.930702,0.979698,0.0
180,138240,0.00029587557603686634,506.6,0.04,0.938744,51.93,2388,-0.007934,0.003317,2.809199,0.005985,0.07785,0.929508,0.943334,-0.17742,1.825509,1.855371,0.947548,0.953467,0.896739,0.0
190,145920,0.00029564516129032255,507.0,0.08,0.975163,49.64,2544,-0.007051,0.014163,2.815743,0.005747,0.069794,0.759003,0.67222,0.266849,1.762564,1.818334,0.951866,0.984486,0.872014,0.0
